འང-དེ	vacant
གནོད-པ	{C}feel ill-will; exert withdrawal; removal; doing harm; distress; trouble; attack; non-meaning; harmful; misfortune; evil; non benefit; disturbing the peace of; is sacked; sacking; {GD:779} refuting
གནོད-པར-འགྱུར	{C}abhor
གནོད-པར-སེམས	{C}exert oneself
གནོད-སེམས-ཀྱི-འདུ-ཤེས	{C}perception of ill-will
གནོད-སེམས-ཀྱི-སེམས-བསྐྱེད-པར-བྱེད	{C}cherish malice for; feel anger
གནོད-སེམས-མེད-པ	{C}free from ill-will
གནོན-པར-འགྱུར-བ	{C}step on; moves into; assail; enter on
གནོན-པར-བྱ-བ	{C}opposes
གཉའ-ཤིང-གང-ཙམ-ལྟ-ཞིང	{C}one who looks ahead only one yoke
གཉེན-བཤེགས-ཚོགས	{C}the host of kinsmen
གཉེན-བཤེས	{C}friend; teacher
གཉེན-བཤེས-བྱམས-པ-དང-འདྲ-བར	{C}as if they were their own beloved relatives
གཉེན-པོ-ཉིད	{C}process of counteracting
གཉེན-པོའི-སྟོབས-ཅན	{C}strong in resisting the enemy
གཉི-ག-མེད-པ-ལས-རིང-དུ-དང-ལྡན-པ-ཡང-མ-ཡིན	{C}nor does it stand somewhere between the two at a remote distance
གཉིད	{C}torpor
གཉིད-ཆེ-བར	{C}weighted down by sloth
གཉིས	{C}dual; duality; both
གཉིས-བཅས-ཀྱི-སྦྱོར-བ	{GD:319} "argument concerning having a companion" [a form of reasoning used by the Cārvākas to argue against reincarnation]
གཉིས-གྱི-ཚུལ-གྱིས-སྤྱོད-པ	{C}the intellect courses in duality
གཉིས-ཀ	{C}two
གཉིས-ལ-བརྟེན-པ	{C}lean on duality
གཉིས-ལ-ཡོངས-སུ-རྒྱུ-བ-མེད-པ	{C}habitual absence of all notions of duality
གཉིས-སྣང-ནུབ-པའི-ཚུལ-གྱིས-རིག	{GD:606} cognition of an object in a non-dual way
གཉིས-སུ-བྱར-མེད	{C}not divided
གཉིས-སུ-དབྱེར	{C}not divided
གཉིས-སུ-མེད-པ	{C}without a second
གཉིས-སུ-མེད-པ-ཤེས-པ	{C}subsequent cognition
གཉིས-སུ-མེད-པའི-ཚུལ-གྱིས	{C}in accordance with non-duality
གོ	{C}opportunity; occasion; room; occasion for
གོ-ཆ	{C}armor; armed with
གོ-ཆ-བགོ-དགོས-སོ	{C}must put on the armor
གོ-ཆ-བགོས-ཤིང	{C}armor
གོ-ཆ-ཆེན-པོ-བགོས-སོ	{C}armed with the great armor
གོ-གྱོན-ཏེ	{C}put on the armor
༅གོ-རིམ-བཞིན༏-གོ-རིམ-བཞིན-དུ	{C}in due order; respectively
གོ-རིམ-པ	{C}gradual action
གོ-སྐབས-འབྱེད-པར-མི-འགྱུར-བ	{C}they are given no opportunity
གོ-སྐབས-མ-མཆིས-པ	{C}it cannot be; impossible; no room
གོམ-སྙོམས-པ	{C}walks at an even pace
གོམས-པ-ཅན	{GD:734} trained perceptions
གོམས-པའི-ལམ	{C}path of repeated meditational practice
གོམས-པར-བྱས-པས	{C}cultivation; tending; cultivation
༅གོང-བར-འགྱུར༏-འགོང-བར-མི-འགྱུར	{C}becomes cowed; be cast down; hide despondently in; does (not) despond; (not) cow
གོང-མ	{C}superior; {GD:177} vertical
གོང-ན-མ-མཆིས-པ	{C}unsurpassed; highest; most excellent; the utmost
གོང-ན-མེད-པ	{C}unsurpassed; highest; most excellent; the utmost
གོང-ཤིང	{C}becomes stolid; despond; is cowed
གོས	{C}garment; robe; strips of cloth; cloth; cloak; robes
གོས-དག-འཐོར-ཞིང	{C}wave their garments (?)
གོས-པ	{C}be sullied with; be polluted; change
གོས-པ-མ-མཆིས-པ	{C}stainless; spotless
གོས-པ-མེད-ཅིང	{C}without a stain; stainless; untainted
གོས-པ-མེད-པ	{C}without a stain; stainless; untainted; free from stains; untainted
གོས-པར-འགྱུར	{C}be sullied with; be polluted; change
གྲགས-ཆེན-ལྡན	{C}greatly famous
གྲགས-པ	{C}brought about; accomplished; adorned; celebrated
གྲམ-ས	{C}arid
གྲངས	{C}calculation; counting; numbering; definition; are counted as
གྲངས-འགྲོ	{C}comes to be styled/called; derives his name from; it gives sense to say; be reckoned among; is called
གྲངས-སུ	{C}wants to be numbered among; counting; count; enumeration
གྲངས-སུ-འགྲོ	{C}comes to be styled/called; derives his name from; it gives sense to say; be reckoned among; is called; reckoned up as
གྲངས-སུ-འགྲོ-འགྱུར-རོ	{C}reckoned up as
གྲངས-སུ-བགྲང-བར-གཏོགས-པ	{C}they have transcended all counting
གྲངས-སུ-མཆིའོ	{C}comes to be styled/called; derives his name from; it gives sense to say; be reckoned among; is called; reckoned up as
གྲོགས-གི-རིམ-གྲོ-བྱས-པས	{C}help living beings
གྲོགས-པ-ལ-དད-ཆེ-བར-མི-འགྱུར	{C}she abstains from habitual cohabitation(?)
གྲོགས-པོ	{C}teacher; adherent; advocate; maternal relative; Sir!
གྲོལ	{C}freed; let loose; delivered
གྲོལ-བ	{C}freed; let loose; delivered; sundered from; outside
གྲོལ-བ-ཉིད	{C}freedom
གྲོལ-ནས	{C}freed; let loose; delivered
གྲོང-འདབ-ན-གནས-པ	{C}living near a village
གྲོང-གི-ནང	{C}in the neighborhood of a village
གྲོང-ཁྱེར	{C}town; abode, village
གྲོང-རྡལ	{C}market town; market place
གྲུ	{C}ship
གྲུ-ཞིག	{C}who suffers shipwreck
གྲུབ-བདེ-རྫས-གཅིག	{GD:241} simultaneous substantial identity; {572} one simlutaneous substance
༅གྲུབ-མཐའ	in the ety I changed grub pa'i to grub pa'am; check
གྲུབ-པ	{C}power; succeed; accomplish; stored up
གྲུབ-པ-དང-བདེ-བ-མེད-པ	{C}surrounded by troubles
གྲུབ-པར-འགྱུར-བ	{C}will succeed; become; arise; come to be; perfect
གྲུམ-པོ	{C}lame
གསད-བྱ-བ	{C}murder; prisoner condemned to death
གསལ	{C}splendid illumination
གསལ-བ	{C}learned; wise; circumspect; skillful (of speech); appear; evident; separate; distinct
གསལ-བ-མེད-པར-མཉམ-པ	{C}remain the same whatever it/they may surpass
གསལ-བར	clarify; appear; evident; separate; distinct
གསལ-བར-བགྱིད-པ	{C}illuminating; gives light
གསལ-བར-བྱས	reveal; open up
གསལ-བར-བྱེད-པ	{C}enlarge on; amplify
གསལ-བར-མེད-པ	{C}enlarge on; amplify
གསལ-བྱེད	{C}letter; verbal expression; minor characteristic; method; light
གསང-བ	hidden
གསང-བའི-གནས-སྤུབས-སུ-ནུབ-པ	{C}his male organ is hidden in a sheath
གསང-བའི-ཚིག	{C}hidden mantra
གསང-སྔགས-པ-བསྒྲུབ-པ	{C}evocation of mantras
གསར-རྟོགས-སོང-བའི-གཞལ-བྱ	{GD:740} newly comprehended object
གསེག-མ	sugar; {C}grit
གསེར	{C}beautiful
གསེར-གྱི	{C}beautiful
གསེར-གྱི-གཏན-པ	{C}golden slab
གསེར-གྱི-ཁ-དོག-རྣམས	{C}golden; beautiful
གསེར-ཀྱིས-ཁ-དོག-གོ	{C}his skin has a golden hue
གསེར-མདོག	{C}with a golden skin
གཤེ	{C}would abuse
གཤེ-བ	{C}abuse
གཤེགས	{C}going (to); motion; pursue; walk
གཤིན-རྗེའི-འཇིག-རྟེན	{C}world of Yama
གཤིན-རྗེའི-འཇིག-རྟེན-པ	{C}beings in the world of Yama
གསོ-བོ	{C}person(ality)
གསོ-མཛད-པ	{C}one who accords medical treatment
གསོ-ཕྱིར	{C}to be cured
གསོབ	{C}vanities; insignificant; vain
གསོབ-ཉིད	{C}insignificance; vanity
གསོབ-ས-སྟག	{C}vanities; insignificant; vain
གསོབ-ཏུ-བགྱིད	{C}treat as insignificant
གསོག	{C}insignificant; vanity; worthless; empty; what has no durable subsistence; nullities; vanities; vain
གསོག-ཉིད	{C}nullity
གསོག-ཏུ-བགྱིད	{C}treat as worthless
གསོག-ཡིན-པ	{C}insignificance; vanity
གསོལ-བ-བཏབ	{C}asked about; bidden (to come); requested
གསུམ-པོ-ཕན-ཚུན	{C}the three
གསུང	{C}(sound of the) voice
གསུང-རབ	{C}holy writ
གསུངས	{C}preached; taught; (has been) called; spoken of; one speaks of; (as) taught; proclaims; reveals; shows; makes known; preaches; report; teach!
གསུངས-པ	words
གསུངས-པའི-རྗེས-སུ-སྨྲ-ཞིན	{C}preach what the Tathāgatas have taught; (one who repeats what the Lord) has said
གཏམ	{C}sermon; story
གཏམས-གྱུར	{C}filled
གཏན-ལ-དབབ-པར-བསྟན-པའི-སྡེ	{C}Exposition; instruction; advice
གཏན-ལ-ཕབ-པར-བསྟན-པའི-སྡེ	{C}Exposition(s); instruction; advice
གཏན-ཚིགས-ཐིག-པ	{GD:841} Dharmakīrti's Science of Reasoning. P:5715, Ce, 364.a.7-400.a.7
གཏང	{C}cast away; rejects; emits; cast off; cast out; come up; let go; abandon; (would) discard; let loose
གཏང-བ	relax
གཏང-སྟེ	{C}having let go; having renounced
གཏེར	{C}receptacle; deposit
གཏིང	{C}firm footing; foothold; bottom; bottom
གཏིང-དཔག-དཀའ-བ	{C}hard to fathom; difficult to plunge into
གཏོད	{C}lead to; I entrust
གཏོད-པར-བྱེད-པ	{C}procuring
གཏོགས-པ	{C}what belongs; trustworthy; right; true; complete; end; finaL, assign; classify; belong to; included in; comprises
གཏོགས-པ-མ-ཡིན	{C}unincluded
གཏོང	{C}let drop; put/throw down; lays aside; emits; gives up; discharges; bestows; lets go; hurl; shoot; reject; cast away; throw; move into; part from; spurns
གཏོང-བ	{C}renunciation; go to; dismiss; abandon; let have; let in; admit; failure; decrease; waning; loss; forsake; donor; giver
གཏོང-བར-བགྱིད	{C}sets free; sprout forth; to free
གཏོར	{C}strew; scatter over
གཏོར-ནས	{C}strew; scatter (over)
གཙེ-བ	{C}harming
གཙེས-པར-གྱུར-པ	{C}one who torments
གཙོ-བོ	{C}valiant; best; a person of authority
གཙུག-ཏོར	{C}cowl
གཏུབ-ཅིང-གཤག-པ	{C}cutting up; breaking up
གཏུབ-པ	{C}breaks (up); is broken by; is broken
གཏུབས-པ	{C}breaks
གུད-དུ-འགྲོ-བར-འགྱུར-ཅིག	{C}may depart
གུད-དུ-སོང-བར-གྱུར	{C}go away; departs; takes his leave
གུས-བྱས	{C}having honored
གུས-པ	{C}dignity; a title to be respected; regard; care; trouble; bring to light; loves; attends to
གུས-པར-བྱ	{C}loves; attends to
གུས-པར-བྱ-བ	{C}honoring
གྱ-གྱུ-མེད-པ	{C}not crooked
གྱ-ནོམ-པ	{C}sublime; fine; good to eat; superior; exalted
གྱ-ཚོམ-དུ	{C}hurries
གྱེན-དུ	{C}upwards
གྱེན-དུ-བཏེག-ཅིང	{C}having lifted up
གྱེན-དུ-ཕྱོགས	{C}point upwards
གྱོ-མོ	{C}gravel; stone
གྱོན-བྱེད	{C}put on
གྱོན-གྱོན-པ	{C}in a proper and correct manner; fitly
གྱུར	{C}have; had
གྱུར-བ	{C}bring about; undergo; show; feel; fall into; incur; put forth; experience; becomes; stands; takes place; occurs; comes about
གྱུར-ཅིང	{C}come (to); go to; be overpowered; approach; take to; undergo; with negative: remain (un)aware of
གྱུར-པ	{C}takes place; can be approached; has admitted into himself; there would be
གཟའ	{C}seizure; appropriation; grasping; seizing on; planet
གཟེར-ཡིས-ཟིལ-ནོན-པ	{C}the impact of the rays
གཞག-པ	place; store; affix; deposit
གཞལ	{C}measure; what is measured
གཞལ-བྱ	{C}measure; what is measured; {GD:92} object of understanding
གཞལ-བྱའི-བདག-ཉིད	{GD:738} nature; identity
གཞལ-མེད-ཁང	{C}car (?)
གཞལ-མེད-ཁང-ཆེན	{C}great and immense
གཞན	{C}the other; foreign; beyond; further; supreme; outshines them all; utmost; any other; this side; later; this; the second; {GD:515} other (as opposed to self, dngos)
གཞན-...-གཞན	{C}in one way ... in another way
གཞན-དུ-འགྲོ	{C}which goes to any
གཞན-དུ-འགྱུར-བ	 {C}changes his mind|{C}alteration; change his mind; alteration of what is established 
གཞན-གང-ཡང-རུང-བ-དང-གཞན-གང-ཡང-རུང-བ	{C}from one to the other; one or the other; one after another; in all kinds of
གཞན-གྱི-དངོས-པོ	{C}other-being
གཞན-གྱི-དྲིང-འཇོག-པ	{C}can be misled by others
གཞན-གྱི-དྲིང-ལ-སྨི-འཇོག-པ	{C}a state where he cannot be led astray by others
གཞན-གྱི-དྲིང-མི-འཇོག	{C}others cannot lead him astray; not led astray by others
གཞན-གྱི-དྲིང-མི-འཇོག-པ	{C}a state where he cannot be led astray by others
གཞན-གྱི-རྐྱེན-གྱིས-འགྲོ-བ	{C}the fact that he goes for help to outsiders
