འལ-འོལ	{འལ་ལེ་འོལ་ལེ} vague/ imprecise
གདན-ས	monastic seat/ center
གདང	{གདངས} (outwardly directed) radiance (of being)/ radiant expression*
གདངས	{ཕྱི་གདངས} externalized/ outwardly directed radiance (of being)*. (outwardly directed) radiance (of being)/ radiant expression*
གདར-ཤ-གཅོད-པ	{བརྡར་ཤ་གཅོད་པ,་བདར་ཤ་གཅོད་པ} to refine one's experience (of) with great precision; to see with great precision; isc. to see through/ pare away
གདེང	{གདིང} indwelling confidence
གདེང-དུ-འཆར-བ	to take with confidence; [in neg. sense] to presume
གདེང-ཐོབ-པ	{གདིང་ཐོབ་པ} to discover/ discovery of indwelling confidence
གདེངས	{གདིང} indwelling confidence
གདེངས-ཐོབ-པ	to discover/ discovery of indwelling confidence
གདིང	{གདེངས} indwelling confidence
གདིང-བཅའ-བ	to base one's confidence on/ gain confidence in
གདིང-གྲོལ-ཐོག-ཏུ-བཅའ-བ	to lay the basis in the immediacy of freedom
གདིང-ཐོབ-པ	to discover/ discovery of indwelling confidence
གདོད-མ	primordial/ fundamental being
གདོད-མའི	primordial(ly); isc. forever/ always
གདོད-མའི-གཞི	primordial ground (of being)
གདོད-མའི-གནས-ལུགས	primordial way of abiding/ abiding nature
གདོད-མའི-མགོན-པོ	primordial guide
གདོད-མ-གཞི	ground of primordial being
གདོད-མ-ནས	primordial(ly); isc. forever/ always
གདོལ-པ	outcaste
གདོན	malevolent influence
གདོན-ཟ-བ	to entertain misgivings
གདོས-བཅས	corporeal/ material/ solid matter; isc. physical body/ material world
གདོས-པ	solidity
གདོས-ཐག	continuity of corporeality
གདུག-པ	malevolent (one)
གདུལ-བྱ	one to be guided/ tamed
གདུང	bloodline/ legacy/ heritage/ ancestry/ family line/ pedigree; (minor) relics
གདུང-བ	longing; to long (for)/ be plagued (by)/ be obsessed (with)
གདུང-རབས	lineage of succession (for . . . )
གདུང-སེལ	to dispel longing
གདུང-ཤུགས	powerful longing
གེགས	(causer of) hindrance
གེགས-སེལ	(means to) dispel hindrances
གེགས-བསལ-བ	to dispel hindrances
གི-བར-དུ	. . . gi bar gyi/ du - (anything) up to and including . . .
གི-བར-གྱི	. . . gi bar gyi/ du - (anything) up to and including . . .
གིང	ging warrior
གིས	. . . (verb +) gis - though/ while . . . ; isc. in light of . . .
གླགས	{གླགས་རྙེད་པ} - (to find) opportunity/ purchase
གླེང-གཞི	narration; narrative background; mise-en-scène; isc. underlying basis
གླེང-སློང-བ	to relate the background (of); to "set the scene"
གླིང	continent
གླིང-ཕྲན	subcontinent/ minor continent
གློ-བ	lung(s)
གློ-བུར	{གློ་བུར་བ} adventitious; superficial; incidental
གློ-བུར-རྣམ-དག-གི-སྐུ	kaya that is totally pure anew (one of the two aspects of svabhavikakaya)
གློ-བུར-དྲི-བྲལ-གྱི-སངས-རྒྱས	buddhahood that is free of/ as freedom from adventitious distortions
གློ-བུར-གྱི-དྲི-མ	adventitious/ superficial distortions
གློད-པ	to relax/ let go
གླུ	song; {གླུ་ལེན་པ} (to sing a) song
གནད	key/ crucial point; the very heart of . . . ; isc. (when ending a line of verse or a sentence) it is crucial to . . .
གནད-བརྡེགས	to hit on/ strike at the vital point/ "hit the nail on the head"
གནད-སྡུ	to summarize the key points; synopsis of the key points
གནད-ལ-དབབ-པ	to strike at/ hit on the key/ crucial point
གནད-བཀྲོལ-བ	to reveal the key point
གནད-བསྡུ-བ	to summarize the key points; synopsis of the key points
གནད-བསྣུན-པ	/ chun pa - to intensify focus on/ emphasize the key/ crucial point
གནད-གཅུན-པ	to focus on the key/ crucial point
གནད-ཆུན-པ	/ bsnun pa - to intensify focus on/ emphasize the key/ crucial point
གནད-ཐིངས-པ	to embrace the key point (of)
གནད-དུ-སོང-བ	to have arrived at/ penetrated to the key point
གནད-དུ-བསྣུན-པ	/ chun pa - to intensify focus on/ emphasize the key/ crucial point
གནད-དུ-ཆུན-པ	/ bsnun pa - to intensify focus on/ emphasize the key/ crucial point
གནམ	sky; heaven
གནམ-གཟེར	pivot(al point); crux
གནམ-ཡན	open like the sky
གནམ-ཞལ-མ	goddess/ she whose face is the sky/ heaven itself
གནས	location; environment; state (of rebirth); (holy) site/ place; topic/ fact; isc. source/ worthy object (of); isc. opportunity/ context; isc. basis/ arena
གནས-འགྱུར	{གནས་སུ་འགྱུར་བ} to transform/ transmute; transformation/ transmutation
གནས-བདག	master of the region; regional god
གནས-དག	{གནས་སུ་དག་པ} to purify in context; purification in context; isc. within the context of (something's) innate purity
གནས-ཁང	hotel/ hostel; dwelling
གནས-ལུགས	way of abiding
གནས-མཁན	agent located (somewhere)
གནས-པ	reside; (mind) at rest; to abide/ dwell/ reside/ remain (in)/ rest (on); to maintain; to be present/ indwelling; (phase of) duration; isc. to be limited by . . . ; isc. to last/ endure; isc. anything that could abide; isc. to remain caught (in)
གནས-རིས	limited realm
གནས-ས	location (in which (something) remains/ abides)
གནས-སྐབས	situation; circumstances; isc. ordinaary pattern. temporary/ short term; situation/ state/ circumstances; (in) the meantime
གནས-སྐོར	pilgrimage; (to go on) pilgrimage
གནས-ཚུལ	abiding mode
གནས-ཡུལ	(objective) environment
གནས-འགྱུ-རིག-གསུམ	three phases—mind at rest, mind stirring, and awareness
གནས-བསྐོར-བ	(to go on) pilgrimage
གནས-འཕོ-བ	to move/ transfer from one state to another; transition from one state to another
གནས-ངན-ལེན-པ	to perpetuate ignoble states of existence; tendency that perpetuates ignoble states of existence
གནས-སྐབས-ཀྱི	provisional/ conditional; temporary/ short term
གནས-སྐབས-སུ	temporary/ short term; situation/ state/ circumstances; (in) the meantime
གནས-པའི-ས	location (in which (something) remains/ abides)
གནས-དག-ཏུ	in (its) inherent purity
གནས-སྤར-བ	to edify/ elevate (in status); to be edified/ uplifted (to)/ elevated (in status)
གནས-སུ-དག-པ	to purify in context; purification in context; isc. within the context of (something's) innate purity
གནས-སུ-འགྱུར-བ	to transform/ transmute; transformation/ transmutation
གནོད-བྱེད	harmful
གནོད-པ	(to do/ cause/ bring) harm; to be disproved/ harmed/ under attack (in logic); isc. to undermine
གནོད-སྦྱིན	spirit; yaksha spirit/ harmbringer
གནོད-སྐྱེལ-བ	{གནོད་བསྐྱལ་བ} to inflict injury (on)/ do harm (to)
གནོད-པ-སྐྱེལ-བ	/ bskyal (ba) - to inflict injury (on)/ do harm (to)
གནོད-པ-བསྐྱལ-བ	/ skyel (ba) - to inflict injury (on)/ do harm (to)
གནོད-བསྐྱལ-བ	{གནོད་སྐྱེལ་བ} to inflict injury (on)/ do harm (to)
གནོན-པ	to suppress
གཉན	type of powerful nonhuman spirit
གཉན-པོ	strict; weighty/ crucial/ momentous/ serious
གཉེན-པོ	antidote/ antidotal technique/ corrective measure/ remedy; ally
གཉེན-གཅིག-པོ	single/ only ally
གཉེན-པོ-ཀུན-ཏུ-སྤྱོད-པའི-སྟོབས	power of engaging fully in antidotal techniques
གཉེར-བ	to (be) aspire(d) to
གཉིད	lethargy. {གཉིད་འཐུག་པོ} (deep) sleep
གཉིད-འཐུག-པོ	deep sleep
གཉིས	isc. either . . . or/ neither . . . nor; isc. both/ either
གཉིས-འཛིན	dualism/ dualistic perception; isc. dichotomy
གཉིས-ལྡན	{གཉིས་ལྡན་གྱི་དུས} age of one half perfection
གཉིས-མེད	{གཉིས་སུ་མེད་པ} nondual(ity); isc. nonexistence of dichotomy; isc. to be none other than . . . ; isc. not to exist in duality/ within a dualistic framework
གཉིས-རྫོགས	perfect(ion) in duality
གཉིས-སྐྱེས	bird; isc. garuda
གཉིས-སྣང	{གཉིས་སུ་སྣང་བ} dualistic appearances; to manifest in a dualistic manner
གཉིས-ལྡན-གྱི-དུས	age of one half perfection
གཉིས-མེད-དུ	in a state of nondual union/ unity; isc. nonexistence of dichotomy
གཉིས-མེད-རྒྱུད	{གཉིས་སུ་མེད་པའི་རྒྱུད} nondual tantra
གཉིས-མེད-ཡེ-འབྲེལ	timeless nondual integration
གཉིས-མེད-ལྟར-ཤར-བ	arising (in manner) consistent with nonduality*
གཉིས-སུ-མེད	(verb) dang ma (verb) gnyis su med - there is no question of whether or not . . .
གཉིས-སུ-སྣང-བ	dualistic appearances; to manifest in a dualistic manner
གཉིས-སུ-མེད-པ	nondual(ity); isc. nonexistence of dichotomy; isc. to be none other than . . . ; isc. not to exist in duality/ within a dualistic framework
གཉིས-སུ-མེད-པའི-རྒྱུད	nondual tantra
གཉིས-ཀ-རྒྱུད-ཀྱི-ཐེག-པ	spiritual approach of dual tantra
གཉུག-མ	genuine (nature)
གཉུག-མའི	genuine (nature)
གཉུག-མའི-སྒོ-གསུམ	three avenues of genuine being
གོ-འཕང	state/ level; status/ rank; isc. majesty
གོ-བ	to comprehend intellectually; intellectual comprehension
གོ-དོན	significance
གོ-རིམ	(in) proper order; structure
གོ-རིམས	(in) proper order; structure
གོ-སྐབས	situation; isc. limitless potential
གོ-སྙོད	cumin seed
གོ-མ-འགག-པ	unimpeded/ unceasing avenue; to provide an unimpeded/ unceasing avenue for . . . ; isc. unceasing way in which (something happens)
གོ-གཅིག-པ	isc. to understand to be the same
གོ-བཟློག-པ	to reverse/ turn back (on itself); to negate; isc. to revert
གོ-སྐབས-འབྱེད-པ	{གོ་སྐབས་འབྱེད་པ} to be open; to provide an open avenue (for the expression of . . . ); isc. open dimension/ limitless potential
གོ-ཟློག-པ	to reverse/ turn back (on itself); to negate; isc. to revert
གོ-ཆོད-པ	to be sufficient/ effective/ adequate
གོ-བདེ-བར	for the sake of convenience/ ease in comprehension
གོལ-འཕྱུགས	error or blunder/ mishap
གོལ-བ	to deviate/ go astray/ err
གོལ-ས	pitfall; (point of) potential error/ misdirection/ going astray/ deviation; potential for error
གོལ-སྒྲིབ-བཅས-པ	errant and obscure; (involving) error and obscuration
གོལ-སྒྲིབ-མེད-པ	without error or obscuration; unerring and unobscure
གོམ-པ	(foot)step
གོམ-པ-བཞི-འཆམ	four step dance movement
གོམས-འདྲིས	familiarity/ acclimatization
གོམས-མེད	unable to be treated as predictable/ with familiarity
གོམས-པ	to become familiar/ develop some facility with; become acclimatized to
གོམས-པ-མེད-པ	unable to be treated as predictable/ with familiarity
གོང-མ	higher/ more advanced; elder; former; master of yore/ the past
གོས-པ	to be sullied/ covered with/ by
གྲགས-པ	. . .r grags pa - to be (re)known(ed) as/ reputed to be . . .
གྲགས-སྟོང	unity of sound and emptiness; (simultaneously) audible yet empty
གྲལ-ཕྱམ	rafter
གྲངས	number; counting; variation (on a theme)
གྲངས-མཐའ	{གྲངས་མཐའ་ཟད་པ} - (attempts at) quantifying . . . fail
གྲངས-ཚད	requisite number (of mantra repetitions)
གྲངས-པ-ཅན	proponent of Samkhya school of Indian philosophy/ Enumerator
གྲིམས-པ	to be alert/ tense; tension
གྲོགས	supportive element; ally
གྲོལ-བ	freedom; to become free(d)/ find freedom; isc. to cease/ disappear; [in cases of shar gnas grol gsum, or where common decency dictates] freed; [in other cases of rang grol, etc.] free
གྲོལ-ལམ	path of freedom
གྲོལ-ལུགས	mode of freedom
གྲོལ-ས	context/ environment of freedom
གྲོང-ཁྱེར	city/ town; citadel
གྲོང-པའི	. . . commonplace
གྲུ-ཆད	corner [of a room/ courtyard, esp. in gzhal yas khang]
གྲུབ-བསལ	confirmed or refuted; {གྲུབ་བསལ་མེད་པ} (without being) something to be proven (to exist)/ established and from which nothing need be excluded; (not to be) confirmed or refuted; nothing to be added or removed
