ཀུད	{ཀུད} ND.gives as the present of {བཀུ}.
འཇོ	 Present: {འཇོ} LZ, DS. \nPast: {འཇོས} LZ. {འཇོ} [DS].\nFuture: {འཇོ} LZ, [DS].\nImperative: {འཇོ} LZ.\nIntransitive: DS.\nCharacteristic Example: {འདོད་པ་སོགས} LZ. \nMeaning: 1. To satisfy, fulfill. 2. To rain, or many desires to be fulfilled DS.|Present: {འཇོ} LZ, CD, DK, DS, TC. {གཞོ} (CD).\nPast: {བཞོས} LZ, CD, DK, DS, TC. \nFuture: {བཞོ} LZ, CD, DK, DS, TC. \nImperative: {ཞོས} LZ, ND, DK. {འཇོས} CD, TC. {གཞོས} DS.\nVoluntary: CD, ND, DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nDenominative of: {ཞོ} 'yoghurt' (Beyer 1992: 112 n.11)\nCharacteristic Example: {འོ་མ་སོགས} LZ. {འོ་མ} ND. \nMeaning: To milk CD, DK. To take milk from the breast of a milch animal DS. 1. To yield, extract, to milk. 2. To satisfy, to fulfill. 3. To captivate, to bewitch TC. 
འཇོག	 Present: {ཞོགས} LZ.{འཇོག} CD, TC. \nPast: {ཞོགས} CD.{བཞོགས} LZ, CD, TC.\nFuture: {བཞོག} LZ.{གཞོག} CD. TC.\nImperative: {ཞོག} CD. {ཞོགས} LZ, TC.\nVoluntary: TC, (Hoshi 2003).\nTransitive: TC.\nDenominative of: {མར་ཞོག} 'a part cut off, one half of a mar ril (i.e. a globular piece of fresh butter)' (Chang 1971: viii.4).\nCharacteristic Example: {ཤིང་སོགས} LZ.\nMeaning: To cut, hew, to square (a pen, timber &c.); to carve, chip CD. To carve, plane, chip, strain TC. | Present: {འཇོག} LZ. \nPast: {འཇོགས} LZ.\nFuture: {འཇོག} LZ.\nImperative: {འཇོག} LZ.\nCharacteristic Example: {ཐེམ་སྐས་སོགས་ལ} LZ. | {འཇོག} DS. gives as an alternate present to {གཤག}.|Present: {འཇོག} KYT, TD, LZ, CD, ND, DK, DS, TC. \nPast: {བཞག} KYT, TD, LZ, CD, ND, DK, DS, TC. \nFuture: {གཞག} KYT, TD, LZ, CD, ND, DK, DS, TC. \nImperative: {ཞོགས} KYT. {ཞོག} TD, LZ, CD, ND, DK, DS, TC. \nVoluntary: KYT, TD, CD, ND, DS, TC., (Tournadre & Dorje 2003: 159)., (Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Tournadre & Dorje 2003: 159), (Hackett 2003).\nDenominative of: {ཞགས་པ} 'lasso'(Chang 1971: viii.3) \nCharacteristic Example: {གནས་སུ} TD, ND. {དམ་བཅའ་དང་གནས་སོགས་སུ} LZ.\nMeaning: 1. To put, place, make a place, settle, to assign. 2. To leave, leave behind CD. 1. To keep in place. 2. To leave, give up DK. 1. For a thing to remain in its own place. 2. To give an example. 3. To make a success 4. To add, augment (e.g. {ལུད} ). 5. To go into retreat DS. 1. To fix, to settle, to keep, to place, to put down, to arrange. 2. To establish, to found, to make, to sign. 3. To leave or to have. 4. To leave aside, to put aside, to neglect, to reject TC. 
འཇོང	Present: {འཇོང} TC. \nPast: {འཇངས} TC.\nFuture: {འཇང} TC.\nImperative: {འཇོངས} TC.\nVoluntary: TC.\nTransitive: TC.\nMeaning: To gulp down TC.
འཇོམ	 see {ཞོམ}|{འཇོམ} DK. gives as the present of {ཞོམ}  
འཇོམས	Present: {འཇོམས} KYT, KYN, TD, LZ, CD, ND, DK, DS, TC. \nPast: {བཅོམ} KYT, KYN, TD, LZ, CD, ND, DK, DS, TC. {བཅོམས} CD.\nFuture: {གཞོམ} KYT, KYN, TD, LZ, CD, DK, DS, TC. {ཞོམ} ND.\nImperative: {ཆོམས} KYT, KYN, TD, LZ, ND, DK, DS. {ཆོམ} CD, TC.\nVoluntary: KYT, KYN, TD, CD, ND, DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCausative of: {ཞོམ} NWH.\nCharacteristic Example: {བདུད་ཀྱི་དཔུང་སོགས} TD. {ཉོན་མོངས་དང་གྱུལ་སོགས} LZ. {འདུད་སོགས} ND. \nMeaning: 1. To conquer, subdue, put down, suppress. 2. To oppress, tyrannize over, plunder CD. To destroy, to put an end to, to conquer, defeat, quell DK. 1. To destroy, to defeat. 2. To annihilate, remove, cure DS. To subdue, to quell, to plunder, to defeat, to suppress, to damage TC.
འཇོལ	 see {འཇལ}|Present: {འཇོལ} CD, DS, TC. \nPast: {འཇོལ} [DS], TC.\nFuture: {འཇོལ} [DS], TC.\nImperative: - TC.\nInvoluntary: TC.\nIntransitive: DS, TC.\nMeaning: 1. To hang down. 2. (for {འབྱོལ} ) To turn aside, to make way CD. To hang down, to dangle DS. To sag, to hand down, to drag down, to trail down, to dangle TC. 
རྗིད	Present: {རྗིད} DK. \nPast: {རྗིད} DK.\nFuture: {རྗིད} DK. \nImperative: {རྗིད} DK.\nMeaning: To become weak and thin, to decay, diminish DK.\nNote: Compare {རྗུད}. 
རྗུད	Present: {རྗུད} DK. \nPast: {རྗུད} DK.\nFuture: {རྗུད} DK. \nImperative: {རྗུད} DK.\nMeaning: To become weak and thin, to decay, diminish DK.\nNote: Compare {རྗིད}. 
རྗེ	Present: {རྗེ} LZ, CD, ND, DS, TC. {བརྗེ} CD, DK.\nPast: {བརྗེས} LZ, CD, ND, DK, DS, TC.\nFuture: {བརྗེ} LZ, CD, ND, DK, DS, TC.\nImperative: {རྗེས} LZ, ND, DK, DS, TC. {བརྗེས} CD.\nVoluntary: CD, ND, DS, TC, (Tournadre & Dorje 2003: 258), (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Erg. Abs.] (Tournadre & Dorje 2003: 258), (Hackett 2003).\nCharacteristic Example: {དངོས་པོ་སོགས་ཕན་ཚུན} LZ. {ཕན་ཚུན} ND.\nMeaning: To change, barter, to give or take in exchange CD. To exchange, change DK. To exchange DS. To exchange, to change TC.
རྗེད	 {རྗེད} CD, DS. give as a present of {བརྗེད} |Present: {རྗེད} CD (archaic), DK, DS, TC. {བརྗེད} LZ.\nPast: {བརྗེད} LZ,CD, TC. {རྗེད} DK, [DS].\nFuture: {བརྗེད} LZ, CD, TC. {རྗེད} DK, [DS].\nImperative: {རྗེད} DK, TC. {བརྗེད} LZ.\nVoluntary: TC.\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nDenominative of: {རྗེ} 'master, lord' (Beyer 1992: 112 n. 11)\nCharacteristic Example: {བཅོལ་གཏད་སོགས} LZ.\nMeaning: To honor, reverence CD. To offer, to respect DK. (archaic) To pay compliments, respect DS. To respect, to venerate, to revere, to honor TC. 
རྗོད	 Present: {རྗོད} (Hackett 2003). \nPast: {བརྗོད} (Hackett 2003).\nFuture: {བརྗོད} (Hackett 2003).\nImperative: {རྗོད} (Hackett 2003).\nSyntax: [Obl. Abs.](Hackett 2003).\nMeaning: To be expressed (by), to be called (Hackett 2003).|Present: {རྗོད} KYT, KYN, TD, LZ, CD, ND, DK, DS, TC. \nPast: {བརྗོད} KYT, KYN, TD, LZ, CD, ND, DK, DS, TC. \nFuture: {བརྗོད} KYT, KYN, TD, LZ, CD, ND, DK, DS, TC. \nImperative: {རྗོད} KYT, KYN, TD, LZ, ND, DK, DS, TC. \nVoluntary: KYT, KYN, TD, ND, DS, TC. \nIntransitive: DS, TC.\nSyntax: [Erg. Abs.] (Hackett 2003).\nCharacteristic Example: {ངག་གིས} TD. {ངག་དནག་ཚིག་གིས} LZ. {ཚིག} ND.\nMeaning: To say, recite, pronounce, utter, announce, promulgate, enumerate, set forth CD. To express; to say, speak DK. To say, speak DS. To say, to tell, to express, to pronounce, to utter, to recount TC. 
ལྗེན	Present: {ལྗེན} CD. \nMeaning: To enter, penetrate CD.
བརྗིད	Present: {བརྗིད} CD, DK, TC. \nPast: {བརྗིད} DK, TC.\nFuture: {བརྗིད} DK, TC.\nImperative: {བཇིད} DK. - TC.\nInvoluntary: TC.\nIntransitive: TC.\nSyntax: [Obl. Abs.](Hackett 2003).\nMeaning: To shine, glitter CD. To brighten, beautiful; to be glorious DK. To be majestic, to be mighty, to be splendid TC.
བརྗེ	{བརྗེ} DK. gives as the present of {རྗེ} 
བརྗེད	 {བརྗེད} LZ. gives as the present of {རྗེད}.|Present: {བརྗེད} CD, DK, TC. {རྗེད} (CD), DS. \nPast: {བརྗེད} CD, DK, DS, TC.\nFuture: {བརྗེད} CD, DK, DS, TC.\nImperative: {བརྗེད} DK. - DS, TC.\nInvoluntary: DS, TC, (Hoshi 2003).\nTransitive: DS. Intransitive: TC.\nSyntax: [Obl. Abs.](Hackett 2003).\nMeaning: To forget CD,DS, TC. To forget, to neglect DK. 
ཉ	Present: {ཉ} TC. \nPast: {ཉ} TC.\nFuture: {ཉ} TC.\nImperative: - TC.\nInvoluntary: TC.\nIntransitive: TC.\nMeaning: (of celestial bodies) To be full TC.
ཉན	 Auxiliary: [CD], DS.\nFunction:Used as a formative, added to the root of a verb, signifying capability, possibility &c. CD.1. (when following certain words such as bshad 'say') To willingly accomplish. 2. (when prefixed by kha this verb, added to another verb) To promise DS.| Present: {ཉན} CD, DK, TC. \nImperative: - CD.\nInvoluntary: (Hoshi 2003).\nMeaning: To be able CD. To be suitable, fitting, possible DS. To be fit for TC. |Present: {ཉན} KYN,LZ, CD, ND, DK, DS, TC. {མཉན} DK.\nPast: {མཉནད} (Thomas 1935-63.II: 97 and 157 qtd. in Coblin 1976:50), KYN, LZ, ND, DK. {ཉནད} DK. {མཉན} DS, TC.\nFuture: {མཉན} KYN,LZ, ND, DK, DS, TC. {ཉན} DK.\nImperative: {ཉོནད} KYNcw, LZ, ND, DK. {ཉོན} KYNz. CD, DS, TC.{མཉནད} DK.\nVoluntary: KYN,CD, ND, DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] nyan(Hackett 2003). [Obl. Abs.] mnyan(Hackett 2003).\nCharacteristic Example: {ཆོས་སོགས} LZ. {བོན་ཆོས་གཏམ} ND. \nMeaning: To hear, to give ear to, to listen CD. To listen, obey (nyan) DK. To listen to, to cause to listen (mnyan) DK. To hear DS. To be attentive to, to listen to TC. 
ཉམས	Present: {ཉམས} ND, DK, DS, TC. \nPast: {ཉམས} ND, DK, [DS], TC.\nFuture: {ཉམས} DK, [DS], TC.\nImperative: {ཉམས} DK. - [ND], TC.\nInvoluntary: [ND], TC, (Hoshi 2003).\nIntransitive: DS, TC.\nSyntax: [Abs. Obl.](Hackett 2003).\nMeaning: To deteriorate, to grow weak, to decline DK. To deteriorate, decline, perish, come to ruin DS. To degenerate, to decline, to deteriorate TC.
ཉར	Present: {ཉར} DK, DS, TC. \nPast: {ཉརད} DK. {ཉར} [DS], TC.\nFuture: {ཉར} DK, [DS], TC.\nImperative: {ཉརད} DK. {ཉོར} TC.\nVoluntary: TC, (Hoshi 2003).\nTransitive: DS, TC.\nMeaning: To keep, preserve DK. To keep, take care of, preserve, conserve DS. To keep TC.
ཉལ	Present: {ཉལ} LZ, CD, DK, DS, TC. \nPast: {ཉལད} LZ, DK. {ཉལ} DS, TC.\nFuture: {ཉལ} LZ, DK, DS, TC.\nImperative: {ཉོལད} LZ, DK. {ཉོལ} DS, TC.\nVoluntary: DS, TC, (Hoshi 2003).\nIntransitive: DS, TC.\nCharacteristic Example: {མལ་སོགས་སུ} LZ.\nMeaning: To lie down, to sleep CD,DK. 1. (of men and cattle) To rest, lying on the side of the body. 2. To sleep. 3. (of twigs and chaff) to fall upon the surface of the ground DS. To lie down, to rest, to fall asleep, to go to sleep, to stop, to come to a halt TC.\nNote: Root given as nyal < *nal (Beyer 1992: 84) cf. {མནལ} 'to sleep.'
ཉིལ	Present: {ཉིལ} DK, DS, TC. {གཉིལ} CD, DS.\nPast: {ཉིལད} DK. {ཉིལ} [DS], TC.{གཉིལ} [DS].\nFuture: {ཉིལ} DK, [DS], TC.{གཉིལ} [DS].\nImperative: {ཉིལད} DK. - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nResultative of: {སྙིལ} CD, (Gyurme 1992: 260), (Beyer 1992: 116).\nMeaning: To be desiccated, to crumble away, to thaw CD. To fall apart, to become old, to be ruined DK. 1. To crumble, collapse. 2. To fall down as many droplets (nyil) DS. To become dull, less sharp (gnyil)DS. To collapse, to crumble, to pour or flow down, to erode TC.
ཉུག	Present: {ཉུག} LZ, DK, DS, TC. \nPast: {ཉུགས} LZ, DK, TC. {ཉུག} [DS].\nFuture: {ཉུག} LZ, DK, [DS], TC.\nImperative: {ཉུགས} LZ, DK, TC.\nVoluntary: TC.\nIntransitive: DS, TC.\nSyntax: [Erg. Obl.](Hackett 2003).\nCharacteristic Example: {རྐང་པ་དང་ལག་པ་སོགས་ཀྱིས} LZ.\nMeaning: To anoint, apply oil or ointment DK. 1. To touch. 2. To apply, anoint DS. 1. To touch, to grope for, to stretch out. 2. To apply, to smear, to put on TC.
ཉུང	Present: {ཉུང} ND. \nPast: {ཉུང} ND.\nInvoluntary: (Hoshi 2003).\nMeaning: To be few [ND].
ཉུལ	Present: {ཉུལ} CD, DK, DS, TC. {གཉུལ} CD.\nPast: {ཉུལད} DK. {ཉུལ} [DS], TC.\nFuture: {ཉུལ} DK, [DS], TC.\nImperative: {ཉུལད} DK. {ཉུལ} TC.\nVoluntary: TC.\nIntransitive: DS, TC.\nMeaning: To wander, rove about; to step gently, steal through, creep CD. To wander DK. To go without having a goal DS. 1. To roam, to wander, to search for. 2. (archaic) To delay, to linger, to loiter TC.\nNote: Compare {གཉུལ}.
ཉེ	Present: {ཉེ} CD, DK. \nPast: {ཉེ} DK.\nFuture: {ཉེ} DK.\nImperative: {ཉེ} DK.\nSyntax: [Abs. Obl.](Hackett 2003).\nDenominative of: {ཉེ} 'near' NWH.\nMeaning: To be near, to approach CD. To go nearer, to be near; to become close friends DK.
ཉེད	{ཉེད} (CD), DS, TC. gives as the present of {མཉེད} 
ཉེན	Present: {ཉེན} CD, DK, DS, TC. \nPast: {ཉེནད} DK. {ཉེན} [DS], TC.\nFuture: {ཉེན} DK, [DS], TC.\nImperative: {ཉེནད} DK. - TC.\nInvoluntary: TC.\nIntransitive: DS, TC.\nMeaning: To be pained, pinched, pressed hard (e.g. by hunger); to labor, to drudge CD. To be in danger DK. To suffer DS, TC.
ཉེས	Present: {ཉེས} LZ, CD, DK, DS, TC. \nPast: {ཉེས} LZ, DK, [DS], TC.\nFuture: {ཉེས} LZ, DK, [DS], TC.\nImperative: {ཉེས} LZ, DK - TC.\nInvoluntary: TC, (Hoshi 2003).\nTransitive: DS. Intransitive: TC.\nSyntax: [Abs. Obl.](Hackett 2003).\nCharacteristic Example: {གནོད་བ་སོགས་ཀྱིས} LZ.\nMeaning: To commit an offence (commoner usage is with -{བྱེད} ) CD. To be spoilt, to become useless DK. To harm, damage &c. DS. To be defective, to be flawed, to be wrong, to go wrong TC.
ཉོ	Present: {ཉོ} LZ, CD, DK, DS, TC. \nPast: {ཉོས} LZ, CD, DK, DS, TC.\nFuture: {ཉོ} LZ, DK, DS, TC.\nImperative: {ཉོས} LZ, CD, DK, DS, TC.\nVoluntary: CD, DS, TC, (Tournadre & Dorje 2003: 137), (Hoshi 2003).\nTransitive: DS, TC.\nSyntax: [Erg. Abs.] (Tournadre & Dorje 2003: 159). (Hackett 2003).\nCharacteristic Example: {ཇ་མར་སོགས} LZ.\nMeaning: To buy, obtain by payment CD. To purchase, buy DK. To exchange money for something DS. To buy, to purchase TC.
ཉོག	Present: {ཉོག} DK, DS. \nPast: {ཉོགས} DK. {ཉོག} [DS].\nFuture: {ཉོག} DK, [DS].\nImperative: {ཉོགས} DK.\nIntransitive: DS, (Hoshi 2003).\nSyntax: [Abs. Obl.](Hackett 2003).\nResultative of: {རྙོག} [CD]. {སྙོག} (Gyurme 1992: 260).\nMeaning: 1. To become muddy, to be unclean or obscure. 2. To feel dull DK. To be disorderly, disarrayed DS.
ཉོབ	Present: {ཉོབ} DK, DS, TC. \nPast: {ཉོབ} DK, [DS], TC. {ཉོབས} (DK).\nFuture: {ཉོབ} DK, [DS], TC.\nImperative: {ཉོབ} DK.{ཉོབས} (DK). - TC.\nInvoluntary: TC, (Hoshi 2003).\nIntransitive: DS, TC.\nMeaning: To become lazy, inactive. To be idle or disinterred DK. To be unable (in mental capacity, or mental and physical activity) DS. To be tired, to be run down, to be weary, to be exhausted TC.
ཉོར	Present: {ཉོར} DK. \nPast: {ཉོརད} DK. \nFuture: {ཉོར} DK. \nImperative: {ཉོརད} DK.\nInvoluntary:(Hoshi 2003).\nMeaning: To fall down slowly, to collapse DK. To become overripe, squishy (Hoshi 2003).
གཉིད	 see {རྙིད}|Present: {གཉིད} ND, DS, TC. \nPast: {གཉིད} ND, [DS], TC.\nFuture: {གཉིད} [DS], TC.\nImperative: - [ND], TC.\nInvoluntary: [ND], TC.\nIntransitive: DS, TC.\nMeaning: To fall asleep DS. To sleep, to fall asleep TC. 
གཉིལ	{གཉིལ} CD, DS. give as the present of {ཉིལ} 
གཉུལ	Present: {གཉུལད} LZ. {གཉུལ} CD, ND, DK, DS, TC. {ཉུལ} CD.\nPast: {གཉུལད} LZ, DK. {ཉུལད} ND. {གཉུལ} [DS], TC.\nFuture: {གཉུལ} LZ, ND, DK, [DS], TC.\nImperative: {གཉུལ} LZ, TC. {ཉུལད} ND. {གཉུལད} DK. \nVoluntary: ND, TC.\nTransitive: DS, TC.\nCharacteristic Example: {ཡུལ་སོགས་སུ་རྟོག་དཔྱིད་ཀྱིས} LZ. {རྒྱལ་ཁམས་སོགས} ND.\nMeaning: To search, find, to spy, to wander DK. To look around, search about, to wander DS. To transverse, to wander, to roam, to travel TC.\nNote: Compare {ཉུལ}.
གཉེ	Present: {གཉེ} CD. \nPast: {གཉེ} CD.\nMeaning: To woo, court CD.
གཉེག	Present: {གཉེག} DK. \nPast: {གཉགས} DK.\nFuture: {གཉག} DK.\nImperative: {གཉེགས} DK.\nMeaning: To press down DK.
གཉེར	Present: {གཉེར} LZ, CD, DK, DS, TC. \nPast: {གཉེརད} LZ, DK. {གཉེར} [DS], TC.\nFuture: {གཉེར} LZ, DK, [DS], TC.\nImperative: {གཉེར} LZ, TC. {གཉེརད} DK.\nVoluntary: TC.\nTransitive: DS, TC.\nSyntax: [Erg. Abs.](Hackett 2003).\nCharacteristic Example: {དོན་སོགས} LZ.\nMeaning: To tend, to take care of, to provide for; to seek for, to procure, to acquire CD. To keep, preserve; to get into, to seek DK. 1. To keep after (good qualities &c.). 2. To become wrinkly DS. 1. To strive for, to work for, to provide for, to procure. 2. To look after, to manage, to supervise, to take care of. 3. To gnash the teeth, to frown. 4. (archaic) To summon TC.
གཉེལ	{གནེཡལ} CD, DS. gives as an alternative present of {མཉེལ}.
གཉོག	 Present: {གཉོག} DS. \nPast: {གཉོག} [DS].\nFuture: {གཉོག} [DS].\nTransitive: DS.\nMeaning: To hit, strike, beat DS.|Present: {གཉོག} LZ, CD, ND, DS, TC. \nPast: {བཉགས} LZ. {གཉག} ND. {གཉགས} DS, TC.\nFuture: {གཉག} LZ, ND, DS, TC.\nImperative: {ཉོགས} LZ. {གཉོག} ND. {གཉོགས} DS, TC.\nVoluntary: ND, DS, TC.\nTransitive: DS, TC.\nResultative of: {སྙོག} [CD Ja.]\nCharacteristic Example: {བཟའ་བཏུང་གི་ཕྱིར} LZ. {མཐོ་དང་བཟའ་ཕྱིར} NDA. {མཐོ་དང་ཟབ་ཕྱིར} NDB.\nMeaning: To desire, wish earnestly (Cs.) CD. To chew DS. To chew, to masticate, to munch. 2. To whip, to strike, to beat, to pound TC. 
མཉན	{མཉན} DK. gives as a present of {ཉན} 
མཉམ	Present: {མཉམ} LZ, ND, DK, DS. \nPast: {མཉམ} LZ, ND, DK, [DS].\nFuture: {མཉམ} LZ, DK, [DS].\nImperative: {མཉམ} LZ, DK.\nInvoluntary: (Hoshi 2003).\nIntransitive: DS.\nResultative of: {སྙོམ} (Beyer 1992: 117 n. 13).\nCharacteristic Example: {མཐོ་དམན་སོགས} LZ.\nMeaning: To be alike, to be equal DK. To be similar, to compare DS.\nNote: Compare {བཉམ} in (Takeuchi 1995: 314).
མཉེད	Present: {མཉེད} LZ, CD, ND, DK, (DS), TC. {ཉེད} (CD), DS, TC.\nPast: {མཉེས} LZ, CD, ND, DK, DS, TC.{ཉེད} TC.\nFuture: {མཉེ} LZ, CD, ND, DK, DS, TC.{ཉེད} TC.\nImperative: {མཉེད} LZ, DK. {མཉེས} CD, DS, TC. {མཉོས} ND. {ཉེད} TC.\nVoluntary: LZ, CD, ND, DK, DS, TC, (Hoshi 2003).\nTransitive: DS, TC.\nCharacteristic Example: {ལུས་སོགས་ལ་རྫས་ཀྱིས} LZ. {ཀོ་ལྤགས} ND.\nMeaning: 1. To rub between the hands or feet (e.g. ears of corn). 2. To tan, curry, dress. 3. To coax (Cs.) CD. To rub; to tan; to tame; to crush, grind; to knead DK. To make a hard thing (e.g. leather, hide) supple by rubbing DS. To tan, to rub (mnyed) TC. To massage, to rub gently (nyed) TC.
