འབའ-འཛར	(PH) vajra [arch. spelling]
ཁྲ-འབྲུག-ལྷ-ཁང	(PH) Tren-druk Temple [in Yarlung built by Song-tsen-gam-po]
ཁྲེལ-ཡོད	(PH) embarrasment
ཁྲེལ-ཡོད-པ-དང-ངོ-ཚ	(PH) embarassment and modesty
ཁྲི	(PH) ten thousand
ཁྲི-བསྲོང-ལྡེའུ-བཙན	(PH) King Trisong Deutsen
ཁྲི-གདུགས	(PH) throne and canopy
ཁྲི-ལོ	(PH) enthronement year
ཁྲི-མཐོན-པོ	(PH) high throne
ཁྲི-རལ-པ-ཅན	(PH) King Ralpajen
ཁྲིད-སྐོར	(PH) myriarch [governorship]
ཁྲིམས-གཉིས	(PH) two [systems of] ethics (i.e. sūtra and tantra)
ཁྲོ-བོ-གཙུག-ཏོར-འཁོར-བསྒྱུར	(PH) Ulagriva-cakravarti
ཁྲོད	(PH) among; in the midst (of)
ཁྲོད-དུ	(PH) among; in the midst (of)
ཁྲོད-ན	(PH) among; in the midst (of)
ཁྲུས-མཁན-མོ	(PH) washer-woman
ཁུང	(PH) hole; cave; pit; root; panting; snorting; depths [of the heart]
ཁུང-ཙི	(PH) Confucius; Confucianism
ཁུངས	(PH) origin; source
ཁུར	(PH) burden
ཁུར-པོ	(PH) load; burden
ཁུར-པོ-བ	(PH) coolie; porter; load-carrier
ཁུར-རིན	(PH) wages for carrying a load
ཁྱབ-བྱེད	(PH) pervasive [wind]
ཁྱབ-པའི-རང-བཞིན	(PH) all-pervasive
ཁྱད-ཆོས	(PH) distinguishing feature
ཁྱད-ཆོས-ཆེ-བ	(PH) most significant distinguishing feature
ཁྱད-ཆོས-ཀྱི-གཙོ-བོ	(PH) main distinguishing feature
ཁྱད-གཞི-ཁྱད-ཆོས-སྦྱར-བ	(PH) associated substratum and distinguishing feature
ཁྱད-གཞིའི-གནད	(PH) qualified bases
ཁྱད-པར-ཅན	(PH) distinctive; special
ཁྱད-པར-ཅན་	(PH) distinctive; special
ཁྱད-པར-གྱི-ཆོས་	(PH) distinguishing feature
ཁྱེར-བདེ	(PH) convenient; simple
ཁྱེར-སོ	(PH) manner
ཁྱི-ཕག-གི-བརྟུལ-ཞུགས	(PH) yogic discipline of dogs and pigs
ཁྱི-སྨྱོན-པའི-དུག	(PH) rabies
ཁྱི-སོ	(PH) dog's tooth
ཁྱིམ-བདག-དཔལ-སྦྱིན	(PH) the householder; Śrīdatta
ཁྱོན	(PH) size; extent; expanse
ཁྱོན-ནས	(PH) thoroughly
ཀླད-ནད	(PH) headache
ཀློག	(PH) reading
ཀློག-ཐབས	(PH) pronunciation manual
ཀླུའི-རྩ-ཤེ-རབ	(PH) Nāgārjuna’s Fundamental Treatise on the Middle Way; Called "Wisdom"
ཀླུའི-རྩ-ཤེ-རབ-བྱེད	(PH) Nāgārjuna’s Fundamental Treatise on the Middle Way; Called "Wisdom" Chapter #
ཀོ	(PH) [emphatic particle]
ཀོའུ-ཤམ-བི	(PH) Kauśambi
ཀོང-ཆུ	(PH) Kong-po river
ཀུལ-ཀ-བྱེད-པའི-གནས	(PH) disputed place
ཀུན-འབྱུང-བདེན-པའི-ཁྱད-ཆོས-བཞི	(PH) four distinguishing features of the truth of the origination [of suffering]
ཀུན-འབྱུང-མཐོང-སྤང-ཉོན-མོངས-བཅུ	(PH) ten afflictions to be abandoned by the path of seeing [related to the Noble Truth of] Origins
ཀུན-འདུས-པ	(PH) compendium
ཀུན-འགྲོའི-ཚུལ	(PH) applicable to everything
ཀུན-བཏུས	(PH) [Asaṅga's] Compendium [of Manifest Knowledge] (Abhidharmasamuccaya)
ཀུན-བྱང	(PH) the thoroughly afflicted and the purified
ཀུན-བྱང-གི-འགྲིབ-འཕེལ	(PH) increase and decrease of the thoroughly afflicted and the purified
ཀུན-བྱེད-ལས-རླུང	(PH) all-creating wind of karmic action
ཀུན-བཟང	(PH) Samantabhadra [p.n. of a Bodhisattva]
ཀུན-བཟང་	 (PH) thoroughly good; magnificent|(PH) Samantabhadra 
ཀུན-བཟང-མཆོད-སྤྲིན	(PH) clouds of offerings [like those] of Samantabhadra
ཀུན-བཟང-རྡོ-རྗེ-འཆང-ཆེན	(PH) great Samantabhadra Vajradhara
ཀུན-བཟང-རྣམ-འཕྲུལ	(PH) magical display of Samantabhadra
ཀུན-ད	(PH) Jasmine
ཀུན-དགའ-ར-བ	(PH) vihāra; monastic complex
ཀུན-དགའ-ར-བ-ཕུན-སུམ-ཚོགས-པ	(PH) perfect garden
ཀུན-དགའ-རྭ-བ	(PH) personal altar
ཀུན-གསལ-ར-བ	(PH) shining enclosure (i.e. the sky)
ཀུན-གྱི-དབང-ཕྱུག	(PH) powerful lord of all [that exists]; powerful lord of all [samsara and nirvāṇa]
ཀུན-ཁྱབ-མུན-པ	(PH) all-pervading darkness
ཀུན-མཁྱེན-ཀུན-གཟིགས	(PH) all-knowing and all-seeing
ཀུན-ནས-ལྡང-བ	(PH) obsession
ཀུན-ནས-ཉོན-མོངས-དང-རྣམ-བྱང	(PH) thorough affliction and purification
ཀུན-ནས-ཉོན-མོངས-དང-རྣམ-བྱང-གཉིས	(PH) both the thoroughly afflicted and the purified
ཀུན-ནས-ཉོན-མོངས-པ-མེད-པར-ཡོངས-སུ-ལོངས-སྤྱོད-པ	(PH) unafflicted thorough enjoyment
ཀུན-ནས-ཉོན-མོངས-རྣམ-བྱང	(PH) thorough affliction and purification
ཀུན-ཉོན-དང-རྣམ-བྱང-ཐ-དད-མེད-པ	(PH) a non-difference of thoroughly afflicted phenomena and purified [phenomena]
ཀུན-སློང-བྱང-ཆུབ-སེམས	(PH) motivation to [attain highest] enlightenment
ཀུན-སྤྱོད-གཙང-བའི-དཔེ-བྱད	(PH) minor mark of pure proper conduct
ཀུན-ཏུ-བཟང	(PH) thoroughly good; thoroughly beneficial
ཀུན-ཏུ-བཟང-མོ	(PH) Samantabhadri
ཀུན-ཏུ-བཟང-པོ	(PH) Samantabhadra [p.n. of a Bodhisattva]
ཀུན-ཏུ-རྒྱལ	(PH) Saṃjaya
ཀུན-ཏུ-རྒྱུ-མོ	(PH) wandering female ascetic
ཀུན-ཏུ-སྤྱན-རས-གཟིགས-དབང-པོ	(PH) Avalokiteśvara
ཀྱི-ཧུད-ཨ-ཟ	(PH) Alas!
ལའི-ཁར	(PH) at the summit of a mountain pass
ལག	(PH) Hasta [Indian constellation]
ལག-རྗེ-ལུག-རྗེ	(PH) exchanging merchandise
ལགས-ན-རིན-པོ-ཆེ	(PH) Ratnapāṇi
ལམ	(PH) radiant; vivid
ལམ-བགྲོད-ཚུལ	(PH) mode of progressing on the path
ལམ-བཟང	(PH) excellent path
ལམ-ག	(PH) roadside; side of the road
ལམ-གྱི-བཞི-མདོ	(PH) four-way crossroads
ལམ-མེད	(PH) trackless
ལམ-མཐོང-སྤང-ཉོན-མོངས-བཅུ	(PH) ten afflictions to be abandoned by the path of seeing [related to the Noble Truth of] the Path
ལམ-ཉེ-བ	(PH) short path
ལན	(PH) time; times
ལན-བཏབ-པ	(PH) answers given
ལན-བཏབ-པོ	(PH) answers given
ལན-གཅིག	(PH) once
ལན-གཅིག-ཕྱིར	(PH) Once-returner
ལན-གཅིག-ཕྱིར-མི-ལྡོག-པ	(PH) Once-returner
ལན-གསུམ	(PH) three times
ལན-མང-དུ	(PH) in many ways
ལན-རེ	(PH) one time; once
ལན-རེ-རེ	(PH) one time; once
ལན-རེ-རེ-གཉིས-གཉིས	(PH) once or twice
ལན-རེ-རེ-གཉིས-གཉིས-ཙམ	(PH) merely once or twice
ལང-ཚོ	(PH) youth; full bloom
ལས-བུམ-སྒྲུབ-པ	(PH) consecration of the action vase
ལས-ཀྱི-རླུང	(PH) wind of karmic action
ལས-ཉོན-གྱི-དབང	(PH) the force of [contaminated] actions and afflictions
ལས-རབ-འབྱམས	(PH) infinite activities
ལས-རླུང	(PH) wind of karmic action
ལས-ཐབས	(PH) method of preparation
ལྕགས-ཁབ	(PH) [iron] needle
ལྕེའི-སྒོར-རྒྱུ-བའི-རླུང	(PH) wind that moves through the door of the tongue
ལྡོག-པ	 (PH) isolate; difference; opposite|(PH) isolate; difference; opposite 
ལྡོག-པ-གཟུང-རྟོག	(PH) conception of [the true existence of] objects which is to be turned away from [by Bodhisattvas]
ལྡོག-པ-གཟུང-རྟོག-དགུ	(PH) the nine conceptions of [the true existence of] objects to be turned away from [by Bodhisattvas]
ལྡོག-པ-ངོས-འཛིན	(PH) identifying isolates
ལྡོམ-བུ-པ	(PH) mendicant
ལྡོང-རོས	(PH) mineral medicine; realgar
ལེ-ལོ-དག	(PH) two [kinds of] laziness
ལེགས-སྤྱད	(PH) good deed
ལྷ	(PH) deity; god; divinity; goddess; heavens; cloud
ལྷ-བྲིས	(PH) artist
ལྷ-ཆེན-པོ	(PH) Mahādeva
ལྷ-ཅིག	(PH) princess
ལྷ-དབང	(PH) lord of the gods; deity empowerment
ལྷ-མ-སྲིན-སྡེ-བརྒྱད	(PH) eight classes of gods and raksas
ལྷ-མོ-ཆེ	(PH) great goddess
ལྷ-རེག	(PH) ornate silk khata
ལྷ-རིག-པའི-སེངགེ	(PH) *Devavitsiṃha
ལྷ-སྡེ	(PH) groups of gods
ལྷ-སྒྲུང	(PH) folk opera
ལྷ-ཤེས	(PH) diviner
ལྷ-ཤེས-མ	(PH) diviner
ལྷ-སྲིན	(PH) gods and demons (rakṣasa)
ལྷ-ཡེ-ཤེས-སེམས-དཔའ	(PH) divine wisdom being (jñānasattva)
ལྷའི-བུ-འགྲོ-མགྱོགས	(PH) Devaputra Aśvins
ལྷག-བསམ-དག-པ	(PH) pure unusual attitude
ལྷག-པ	(PH) more
ལྷག-པའི-བསམ-པ-བརྟན-པ	(PH) Sthīrādhyāśaya
ལྷག-པའི-ལྷ	(PH) special deity; own particular deity
ལྷག-པར-བྱ-བ	(PH) outstanding deed
ལྷག-པར-རྣལ-འབྱོར	(PH) Atiyoga
ལྷག-པོར	(PH) surpassingly
ལྷག-ཙམ	(PH) little more (than)
ལྷམ	(PH) shoe
ལྷན-ཅིག-བྱེད-པའི-རྒྱུ	(PH) cooperating cause
ལྷན-ཅིག-བྱེད-པའི-རྐྱེན	 (PH) cooperating condition|(PH) cooperating condition 
ལྷན-ཅིག-བྱེད-རྐྱེན	 (PH) cooperating condition|(PH) cooperating condition 
ལྷན-ཅིག-ཏུ	(PH) together; together with
ལྷན-ཅིག-ཏུ-སྐྱེས-པ	(PH) coemergent
ལྷན-རྒྱས	(PH) together
ལྷན-སྐྱེས-བདེ-སྟོང	(PH) innate bliss-and-emptiness
ལྷང	(PH) clear
ལྷོའི-འདོད-མ	(PH) ″desirous″ southern [right] channel at the heart
ལྷོད-ལྷོད-པོ	(PH) loose; very loose
ལྷོད-པ-ཉིད	(PH) loose
ལྷུན-གྲུབ-བརྩེགས	(PH) "Spontaneously Accomplished Mound" [n. of a charnel ground]
ལྷུན-གྲུབ-ཆོས-སྐུ	(PH) spontaneously established Truth Body
ལྷུན-གྲུབ-གཟུགས-སྐུ	(PH) spontaneously established Form Body
ལྷུན-གྱིས-གྲུབ-པ	(PH) spontaneous
ལྷུན-པོ	(PH) beautiful
ལྷུང-བཟེད	(PH) alms bowl
ལི	(PH) verbal root
ལཱི	(PH) verbal root
ལི-བྱིན	(PH) *Ghaṇṭadatta
ལྗང-བ	(PH) dark-colored
ལྗོན-ཤིང	(PH) tree
ལྔ-པོ-འཕྲོད	(PH) five-fold alignment
ལོ-བསྐོར	(PH) [sixty-year] cycle of years
ལོ-མ-བདུན-རི	(PH) seven-petaled mountain
ལོ-པཎ	(PH) translators and paṇḍitas
ལོ-སྐོར	(PH) [sixty-year] cycle of years
ལོ-ཙཱ-བ-ཀ-ཅོག-ཞང	(PH) translators Ka-wa [Pel-tsek (ka ba dpal brtsegs)]; Jok-ro [Lü-gyal-tsen (cog ro klu'i rgyal mtshan)]; and Zhang [Na-nam Ye-she-de (zhang sna nam ye shes sde)]
ལོ-ཚིགས	(PH) chronology
ལོ-ཙཚ-བ	(PH) translator
ལོ-ཙཚ-བ-ཀ-ཅོག-ཞང	(PH) translators Ka-wa [Pel-tsek (ka ba dpal brtsegs)]; Jok-ro [Lü-gyal-tsen (cog ro klu'i rgyal mtshan)]; and Zhang [Na-nam Ye-she-de (zhang sna nam ye shes sde)]
ལོག-པ	(PH) reverse; opposite; unreal; mistaken
ལོག-པའི-ཀུན-རྫོབ	(PH) unreal conventional [truth]
ལོག-པའི-ཀུན-རྫོབ-བདེན-པ	(PH) unreal conventional truth
ལོག-ས-ཐ-དད	(PH) different bases of reversal
ལོག-ས-ཐ-དད-ལས-ལྡོག-པ	(PH) reversed from different bases of reversal
ལོགས-སུ	(PH) to the edge (of); separately; apart; as different (than); as other (than)
ལོང-བ-རྐང-ཅན	(PH) a blind person with good legs
ལོང-བྱ	(PH) objects of enjoyment
ལོང-ག	(PH) large intestine
ལོང-མེད	(PH) no time [to waste]
ལོང-སྤྱོད	(PH) enjoyment; resources; wealth
ལྟ-བ-མཐར-ཐུག	(PH) final view
ལྟ-བ-སྐྱོང	(PH) internalize the view [of emptiness]
ལྟ-བའི-གོལ-ས	(PH) faulty view
ལྟ-ཅི-སྨོས	(PH) what need is there
ལྟ-ལ-ཅི-སྨོས	(PH) what need is there
ལྟ-སྨོས-ཀྱང-ཅི	(PH) what need is there
ལྟ-ཞིག	(PH) just such a one
ལྟར-པོ	(PH) "lump" [n. of a stage of development of the embryo in the third week]
ལྟེ-བ	(PH) hub; center
ལྟོ-འཕྱེ-ཆེ	(PH) Mahoraga
ལྟོ-བགྲངས	(PH) full stomach
ལྟོ-སྐལ	(PH) tax-base
ལུགས-འབྱུང-དུ	(PH) in the forward process
ལུམ-བི-ནཱི	(PH) Lumbinī
ལུང-བསྟན	(PH) prophecy; scriptural teaching
ལུང-དང-སྦྱར-བ	(PH) connection to scripture
ལུང-གི-མངལ-འཇུག	(PH) Scripture on Entering the Womb
ལུས	(PH) body
ལུས-དྲན-པ-ཉེར-གཞག	(PH) application of mindfulness based on the body
ལུས-གཅེར-བུ	(PH) going naked
ལུས-གཅོམ	(PH) physical strength
ལུས-ཀྱི-བྱ-བ	(PH) activities of the body; physical actions
ལུས-ཤིན-སྦྱངས	(PH) physical pliancy
ལུས-ཡུལ-དུས	(PH) body; environment; and time
ལྭ-བ-པ	(PH) Kambalapāda
མ-འཇིགས-པའི-སྤོབས-པ་	(PH) fearless confidence
མ-འོངས	(PH) future; future [phenomena]; [phenomena that exist in the] future
མ-འོངས-པའི-དོན	(PH) future goal
མ-བརྟགས-མ-དཔྱོད-པའི-བློ-ལྷན-སྐྱེས	(PH) an innate awareness that neither investigates nor analyses
མ-དག-གཞན-དབང	(PH) impure other-powered natures
མ-དག-པ-གཞན-གྱི-དབང	(PH) impure other-powered natures
མ-དག-སྐྱེ-ཤི-བར-དོ	(PH) impure birth; death; and the intermediate state
མ-དྲོས	(PH) Anavatapta
མ-དྲོས-མཚོ	(PH) Anavatapta [the Ever Cool Lake, another name for lake Manasarovar]
མ-དུལ-འབ	(PH) the untamed
མ-ཁད	(PH) as soon as; just done; just recently
མ-ཁད-དུ	(PH) as soon as; just done; just recently
མ-མོ	(PH) [n. of mystical formulae or diagrams which use permutations of the alphabet]
མ-ངེས-པའི-རིགས	(PH) indefinite lineage [of person]
མ-ངེས-རྟགས	(PH) uncertain sign; indefinite sign
མ-ནོར-ལམ	(PH) the unmistaken path
མ-ནུས-ཉམ-ཐག	(PH) destitute and powerless
མ-ཕྱི	(PH) draft; preliminary version
མ-རིག-པའི-མུན-པ	(PH) darkness of ignorance
མ-རུངས-པ	(PH) wild beast
མལ-སྟན	(PH) bed
མན	(PH) on and below; henceforward
མན-ཆད	(PH) on and below; henceforward
མན-ཆད-དུ	(PH) on and below
མང-འགྱེད	(PH) common [tea] and [monetary] distributions
མང-བཀུར-སྡེ	(PH) Saṃmitīyā schools
མང-བསྐུར-སྡེ	(PH) Saṃmitīyā schools
མང-གྲངས	(PH) many
མང-ཉིད	(PH) magnitude; plurality
མང-པོས-བཀུར-བ	(PH) Saṃmitīyā school
མཉཛུ-གྷོ-ཤ-ཡ	(PH) Mañjughoṣa
མར	(PH) lower; downward
མར-གྱི-མཚམས-མེད	(PH) direct transition downward
མས-རླུང	(PH) lower wind
མཆེ-བ	(PH) fangs; tusks
མཆེད	(PH) brother
མཆིམས-ནམ-མཁའ-གྲགས	(PH) Chim Nam-ka-drak
མཆོད-བརྗོད	(PH) salutation verse; verse of offering
མཆོད-གནས	 (PH) object of worship|(PH) (hon.) religious figure; monk; priest 
མཆོད-པའི-རྫས	(PH) ritual offering substances
མཆོད-རྫས	(PH) ritual offering substances
མཆོད-སྦྱིན-གྱི-རིག-བྱེད	(PH) Yajurveda
མཆོད-ཡོན	(PH) priest-patron [relationship]
མཆོག-འདོད-སེམས-ཅན	(PH) sentient beings desirous of ultimate [bliss]
མཆོག-གི-དངོས-གྲུབ-རྣམ-པ-གསུམ	(PH) three kinds of supreme siddhis [of body; speech; and mind]
མཆོག-གི-རབ-ཏུ-ས	(PH) supreme land
མཆོག-གསུམ	(PH) Three Jewels
མདངས	(PH) tone; complexion; radiance
མདངས-གསལ	(PH) clear complexion
མདོ	(PH) concise statement; short sentence; axiom
མདོ-ཁམས	(PH) Eastern Tibet; (hon.) Kham
མདོ-རྫི	(PH) river breeze; a wind blowing at open places where rivers meet
མདོ-སྡེ-སྤྱོད-པའི-དབུ-མ	(PH) Sautrantika-[Svātantrika]-Mādhyamika; Middle Way [Autonomy School] Following Sūtra
