སྐུ-མ-རྙོངས-པ	Fifty-seventh of the eighty minor marks.
སེམས-དཔའ-ཆེན-པོ	 An epithet for an accomplished bodhisattva. | Great being. | Literally “great being.” An epithet for a bodhisattva of great accomplishment. | See “bodhisattva” and http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-915–http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-918.\n‘great being | This translation follows the Tib. (lit. “great mind- hero”), whose translation from Skt. derives from the {lo tsA ba}’s analysis of sattva as meaning “hero,” rather than simply “being.”| This translation follows the Tib. (lit. “great mind- hero”), whose translation from Skt. derives from the {lo tsA ba}’s analysis of sattva as meaning “hero,” rather than simply “being.” |See “bodhisattva” and http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-915–http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-918.\n‘great being 
བྱང-ཆུབ-སེམས-དཔའ-སེམས-དཔའ-ཆེན-པོ	 A bodhisattva is a great being (mahāsattva) who has the intention to achieve complete enlightenment for the benefit of all sentient beings.| A bodhisattva is a great being (mahāsattva) who has the intention to achieve complete enlightenment for the benefit of all sentient beings. | Bodhisattva; someone who has the intent to achieve full enlightenment for the benefit of sentient beings. | See “bodhisattva” and http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-915–http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-918 |See “bodhisattva” and http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-915–http://read.84000.co/translation/UT22084-031-002.html#UT22084-031-002-918 
དཔེ-བྱད-བཟང-པོ	 These characteristics of a supreme being are eighty in number and include such details as the redness of the fingernails and the blackness of the hair.\nfeatures of a superior being| These characteristics of a supreme being are eighty in number and include such details as the redness of the fingernails and the blackness of the hair.\nfeatures of a superior being |These characteristics of a supreme being are eighty in number and include such details as the redness of the fingernails and the blackness of the hair.\nfeatures of a superior being 
སྐྱེས-བུ-ཆེན-པོའི-མཚན-ཉི-ཤུ-རྩ-བརྒྱད	 A variation on the more usual set of 32 such marks; this set is mentioned only in this sūtra and in three others: the Gaṇḍa­vyūha (ch. 45 of Toh 44), the Tathā­gatācintya­guhya­nirdeśa (Toh 47), and the longest Sāgara­mati­paripṛcchā (Toh 153). None of these texts give a list.| A variation on the more usual set of 32 such marks; this set is mentioned only in this sūtra and in three others: the Gaṇḍa­vyūha (ch. 45 of Toh 44), the Tathā­gatācintya­guhya­nirdeśa (Toh 47), and the longest Sāgara­mati­paripṛcchā (Toh 153). None of these texts give a list. |A variation on the more usual set of 32 such marks; this set is mentioned only in this sūtra and in three others: the Gaṇḍa­vyūha (ch. 45 of Toh 44), the Tathā­gatācintya­guhya­nirdeśa (Toh 47), and the longest Sāgara­mati­paripṛcchā (Toh 153). None of these texts give a list. 
ཕྱིར-མི-འོང-བ	 One who has achieved the third of the four levels of attainment on the śrāvaka path, and who will not be reborn in saṃsāra any longer. | One who is destined to no longer return to the world; one of the fruits of the Śrāvakayāna. | The third level of noble ones when practicing the path of the hearers (bound to never be reborn). | The third of the four stages that culminate in becoming an arhat. At this stage a being will not be reborn in this world but will be reborn in the Śuddhāvāsa paradise where he will remain until liberation. | no longer being subject to rebirth\nno longer be subject to rebirth| no longer being subject to rebirth\nno longer be subject to rebirth |no longer being subject to rebirth\nno longer be subject to rebirth 
ལན-གཅིག-ཕྱིར-འོང-བའི-འབྲས-བུ	 Second of the four fruits attainable by śrāvakas.| Second of the four fruits attainable by śrāvakas. |Second of the four fruits attainable by śrāvakas. 
མཐའ-ཡས-པའི-ནམ-མཁའ-མཐའ-ཡས	 The first of the four classes of gods of the formless realm. The activity field called “infinite as the sky,” or “boundless space” is one of the 28 classes of gods in the formless realm.|The first of the four classes of gods of the formless realm. The activity field called “infinite as the sky,” or “boundless space” is one of the 28 classes of gods in the formless realm. 
བིལ-བ	Aegle marmelos.
འཇིག-ཚོགས-ལ-ལྟ-བ	 First of the three fetters; also third of the five fetters associated with the lower realms, which concerns the superimposition of the notion of self upon the five psycho-physical aggregates.\nfalse view about perishable composites | The Tibetan is literally “the view of the destructible accumulation,” and the Sanskrit is “the view of the existing body.” They mean the view that identifies the existence of a self in relation to the skandhas.\nbelieve in the existence of a self | The construction of personal identity in relation to the five aggregates.| The construction of personal identity in relation to the five aggregates. | This consists of twenty varieties of false notion, consisting basically of regarding the temporally impermanent and ultimately insubstantial as “I” or “mine.” The five compulsive aggregates are paired with the self, giving the twenty false notions. For example, the first four false notions are that (1) matter is the self, which is like its owner (rūpaṃ ātmā svāmivat); (2) the self possesses matter, like its ornament (rūpavañ ātmā alaņkāravat); (3) matter belongs to the self, like a slave (ātmīyaṃ rūpaṃ bhṛtyavat); and (4) the self dwells in matter as in a vessel (rūpe ātmā bhajanavat). The other four compulsive aggregates are paired with the self in the same four ways, giving sixteen more false notions concerning sensation, intellect, motivation, and consciousness, hypostatizing an impossible relationship with a nonexistent, permanent, substantial self. |The Tibetan is literally “the view of the destructible accumulation,” and the Sanskrit is “the view of the existing body.” They mean the view that identifies the existence of a self in relation to the skandhas.\nbelieve in the existence of a self 
བ-རུ-ར	 Terminalia bellirica.|Terminalia bellirica. 
གསལ-ལྡན	 Modern Vārāṇasi.|Modern Vārāṇasi. 
དུས-ཀྱི-རྗེས-སུ-འབྲང-བ	Also called gum benzoin and gum benjamin. Not to be confused with the unrelated chemical called benzoin. It is the resin of styrax trees.
བཻ-དཱུ-རྱ	 Precious/semiprecious stone; sometimes translated as lapis lazuli.|Although this has often been translated as lapis lazuli, the descriptions and references in the literature, both Sanskrit and Tibetan, match beryl. The Pāli form is veḷuriya. The Prākrit form verulia is the source for the English beryl . This normally refers to the blue or aquamarine beryl, but there are also white, yellow, and green beryls, though green beryl is called “emerald.” 
གོ-ལ	Piper betle.
འཁྲུལ-པ	Bewilderment is the confusion arising from the subject-object dichotomy and fundamental ignorance, on the basis of which rebirth in cyclic existence is perpetuated.
བཟང-པོ	 One of the five companions of Śākyamuni in asceticism, who abandoned him when he renounced asceticism. Later they became the Buddha’s first five pupils, with Bhadrika the second of them to become his follower.| One of the five companions of Śākyamuni in asceticism, who abandoned him when he renounced asceticism. Later they became the Buddha’s first five pupils, with Bhadrika the second of them to become his follower. | The world realm where Yaśodharā will become a buddha. |The world realm where Yaśodharā will become a buddha. 
བཟང-སྐྱོང	 One of “the sixteen excellent men.” A bodhisattva who appears prominently in certain sūtras, such as The Samādhi of the Presence of the Buddhas, and perhaps also the merchant of that name who is the principal interlocutor in http://read.84000.co/translation/UT22084-044-003.html (tshong dpon bzang skyong gyis zhus pa zhes bya ba theg pa chen po’i mdo, toh 83).|One of “the sixteen excellent men.” A bodhisattva who appears prominently in certain sūtras, such as The Samādhi of the Presence of the Buddhas, and perhaps also the merchant of that name who is the principal interlocutor in http://read.84000.co/translation/UT22084-044-003.html (tshong dpon bzang skyong gyis zhus pa zhes bya ba theg pa chen po’i mdo, toh 83). 
བཟང-སྐྱོན	 Bodhisattva.|Bodhisattva. 
བཟང-ལྡན	 One of the first five disciples of the Buddha.| One of the first five disciples of the Buddha. | One of the five excellent companions, with whom Siddhārtha Gautama practiced asceticism near the Nairañjanā River and who later heard the Buddha first teach the Four Noble Truths at the Deer Park in Sarnath. |One of the five excellent companions, with whom Siddhārtha Gautama practiced asceticism near the Nairañjanā River and who later heard the Buddha first teach the Four Noble Truths at the Deer Park in Sarnath. 
