འམ	[C]vA; [C]athavA-api
ཆོས-ལ-དམིགས-པའི-བྱམས-པ	*dharmAlaMbanA maitri
ཆོས-ལ-ཞུགས-པ	[MSA]dharma-pravRtti
ཆོས-ལ-བརྟེན-པ	[MSA]dharma-saMzraya
ཆོས-ལ-ཁོང-ཁྲོ-སྒྲིབ	[MSA]dharme pratighAvati (=dharme pratighAvRti?)
ཆོས-ལ-ཁོང-ཁྲོ-བའི-སྒྲིབ-པ	[MSA]dharme ca pratighAtam AvaraNaM ca
ཆོས-ལ-དབང-བ	[MSA]dharme vazi
ཆོས-ལ-ང-རྒྱལ-སྤངས-པ	[MSA]dharma-vibhUta-mAna
ཆོས-ལ-དགའ-བ	[C]dharma-rati
ཆོས-ལ-མུན-པ-མེད	[MSA]dharma-nirandhakAra
ཆོས-ལ-གཅིག-ཏུ-དགའ-ཞིང	[C]ekAnta-dharma-nirata
ཆོས-ལ-རིན-པོ-ཆེར-འདུ-ཤེས	[MSA]dharma-ratna-saMjJA
ཆོས-ལ-ལོངས-སྤྱོད-པ	[MV]dharma-saMbhoga
ཆོས-ལ-ལོངས-སྤྱོད-རྫོགས-པ	[MSA]dharma-saMbhoga
ཆོས-ལ-ལོངས-སྤྱོད-རྫོགས-པར-མཛད-པ	[MSA]dharma-saMbhogaM karoti
ཆོས-ལ-ལོངས-སྤྱོད-རྫོགས-པ-རྒྱུན-མི-འཆད-པ	[MSA]dharma-saMbhogAviccheda
ཆོས-ལ-བག-ཡོད-པ	[MSA]dharmApramatta
ཆོས-ལ-བདག-མེད-པ	dharma-nairAtmya; [MSA,MV]dharma-nairAtmya
ཆོས-ལ-བདག-མེད-པའི-ཡེ-ཤེས-རྣམ-པར-མི-རྟོག-པ	[MSA]nirvikalpa ... dharma-nairAtmya-jJAna
ཆོས-ལ-ཚུལ-བཞིན-ཡིད-ལ-བྱེད-པ	[MSA]yonizo dharma-manasikAraH
ཆོས-ལ-གུས-པ	[C]dharma-gaurava
ཆོས-དབྱིངས-ཡེ-ཤེས	dharmadhAtujJAna
ཆོས-ཉན-པ	[C]dharma-zravaNika
ཆོས-ཉན-པ-རང-བཞིན	[C]dharma-zravaNika
ཆོས-མཆོག-སྡུད-པ	[MSA]uttama-dharma-saMgraha
ཆོས-མཆོག-གི-རྩེ-སྦྱོར	[LCh]laukikAgradharma-mUrdha-prayoga
ཆོས-མཆོག-ཏུ-འགྱུར	[C]agradharma (gata)
ཆོས-གདགས-པ	[C]dharmaprajJapti
ཆོས-གདགས-པ-རྣམ-པར-བཞག-པ	[C]dharma-prajJapti-vyavasthApana
ཆོས-སྟོན-པ	dharma-dezanA; [MSA]dharma-dezanA; [MSA]dharma-vihita
ཆོས-སྨྲ-བ	dharma-vAdin; [C]dharma-bhAnaka; [C]dharma-vAdin
ཆོས-ཡང-དག-པར-སྡུད-པའི-མདོ	dharmasaMgIti-sUtra
ཆོས-རྒྱུན-གྱི-ཏིང-ངེ-འཛིན	srotAnugatasamAdhi
ཆོས-བདག-མེད-པ	[L]dharmanairAtmya
ཆོས-ཚད-མེད-པ-ཡོངས-སུ-ཚོལ-ཞིང-འཛིན-པ	[MSA]dharma-paryeSaNa-dhAraNa (apramANa-)
ཆོས-དམིགས-པ	[MSA]dharma ... upalabdhi
ཆོས-དྲན-པ-པ-ཉེ-བར-བཞག-པ	dharmasmRtyUpasthAna
ཆོས-ཀྱི-འོད	[MSA]dharmAMzu
ཆོས-ཀྱི-བདག	dharmAtman
ཆོས-ཀྱི-ཆར	[MSA]dharmAmbu-varSa
ཆོས-ཀྱི-དབྱིངས	dharma-dhAtu; [C,MV,MSA]dharma-dhAtu
ཆོས-ཀྱི-དོན	[C]dharma-artha
ཆོས-ཀྱི-གཏན	[C] dharma-sANkathya
ཆོས-ཀྱི-ཁམས	dharmadhAtu
ཆོས-ཀྱི-མཆོག	[MSA]dharmottama. [MV]agra-dharma
ཆོས-ཀྱི-མདོ	[MSA]dharmoddAna
ཆོས-ཀྱི-མཛོད	[C]dharma-koSa
ཆོས-ཀྱི-མིག	[L]dharma-cakSu
ཆོས-ཀྱི-རྒྱལ	[C]dharma-rAja
ཆོས-ཀྱི-རྒྱུན	[MSA]dharma-srotas
ཆོས-ཀྱི-རོ	[L]dharmarasa
ཆོས-ཀྱི-སྒོ	dharma-mukha; [MSA]dharma-mukha
ཆོས-ཀྱི-སྐུ	[MSA]dharma-kAya
ཆོས-ཀྱི-སྤྲིན	[LCh,C,MSA]dharmameghA
ཆོས-ཀྱི-སྤྱན	[MSA]dharma-cakSus
ཆོས-ཀྱི-ཚིག	[L]dharmapada
ཆོས-ཀྱི-རྔ-རྡུང-བ	[C]sampratADana
ཆོས-ཀྱི-སྦྱིན-པ	dharma-dAna; [C,MSA]dharma-dAna
ཆོས-ཀྱི-རང-བཞིན	[C]dharma-prakRti; [MSA]dharma-maya
ཆོས-ཀྱི-མིག-རྡུལ-མེད-ཅིང-དྲི-མ-དང-བྲལ-བ	[MSA]virajo vigata-malaM ... dharma-cakSuH
ཆོས-ཀྱི-མིག-དྲི-མ-དང-བྲལ-བ	[MSA]vigata-mala ... dharma-cakSus
ཆོས-ཀྱི-དེ-ཉིད	[MSA]dharma-tattva
ཆོས-ཀྱི-དེ-བཞིན-ཉིད-རྣམ-པར-དག-པའི-མཚན-ཉིད	[MSA]dharma-tathatA-vizuddhi-lakSaNa
ཆོས-ཀྱི-དེ-ཁོ-ན-ཉིད	[MSA]dharma-tattva
ཆོས-ཀྱི-དམིགས-པ	[MSA]dharmAlambana
ཆོས-ཀྱི-མཚན-མ	dharma-nimitta; [MV]dharma-nimitta
ཆོས-ཀྱི-མཚན-ཉིད	dharma-lakSaNa; [MSA]dharma-lakSaNa
ཆོས-ཀྱི-མཚན-ཉིད-ཕྱིན-ཅི-མ-ལོག-པ	[MSA]aviparIta-dharma-lakSaNa
ཆོས-ཀྱི-རྗེས-སུ-ལྟ-བ	[C](dharmeSu) dharma-anupazyin
ཆོས-ཀྱི-རྗེས-སུ-མཐུན-པའི-ཆོས	[C]dharmasya ca-anudharmatA
ཆོས-ཀྱི-གྲགས-པ	dharmakIrti
ཆོས-ཀྱི-སྐྱེ-མཆེད	dharmAyatana
ཆོས-ཀྱི-སྐྱེ-མཆེད-པའི-གཟུགས	[MSA]dharmAyatanika ... rUpa; dharmAyatanarUpa
ཆོས-ཀྱི-ཡང-དག-པ-ཉིད	[C]madbhUtatA (=dharma-sadbhUtatA)
ཆོས-ཀྱི-ཤུགས-ཀྱིས	[C]dharma-vega
ཆོས-ཀྱི-འཁོར-ལོ	dharma-cakra; [C]dharma-cakra; [MSA]dharmya ... cakra
ཆོས-ཀྱི-འཁོར-ལོ-བསྐོར-བ	[C]dharma-cakra-pravartana
ཆོས-ཀྱི-དབྱིངས-སུ-འགྱུར-བ	[C]dharmI-bhavati
ཆོས-ཀྱི-མཆོག-ཏུ-འགྱུར	[C]agradharma (gata)
ཆོས-ཀྱི-མཆོག-སྡུད-པ	[MSA]uttama-dharma-saMgraha
ཆོས-ཀྱི-ལོངས-སྤྱོད-རྫོགས-པ	[MSA]dharma-saMbhoga
ཆོས-ཀྱི-ལོངས-སྤྱོད-རྫོགས-པ-རྒྱུན-མི-འཆད-པར-འཇུག-པ	[MSA]avicchinna-dharma-saMbhoga-pravartana
ཆོས-ཀྱི-རྒྱལ-པོ	[C]dharma-rAja
ཆོས-ཀྱི-སྒྲོན-མ	[C]dharmolkA
ཆོས-ཀྱི-བར-ཆད-དུ-གྱུར-པ	[C]dharma-antarAyikatA
ཆོས-ཀྱི-བདག-མེད	dharmanairAtmya
ཆོས-ཀྱི-བདག-ཏུ-འཛིན-པ	dharmAtmagraha
ཆོས-ཀྱི-རྣམ-གྲངས	dharma-paryAya; [MSA]dharma-paryAya
ཆོས-ཀྱི-སྙིང-པོ-ཅན	[C]dharma-garbha
ཆོས-ཀྱི-ཚུལ-གྱི-རྣམ-པ-གང-ཞིག	[C]dharma-naya-jAti
ཆོས-ཀྱི-སྣང-བ	[MSA]dharmAvabhAsa
ཆོས-བཤད-པ	[MSA]dharma-dezanA
ཆོས-སྒོ-རྗེས-འགྲོ	[MSA]dharma-mukhAnuyAna
ཆོས-ཤེས-པ	[MSA]dharma-jJa; dharmajJAna
ཆོས-ཡོངས-སུ-ཚོལ-བ	[MSA]dharma-paryeSTi
ཆོས-ཚོལ-བ	[MSA]dharma-paryeSTi
ཆོས-རྒྱལ-པོ	[C]dharma-rAja
ཆོས-གོས-གསུམ-པ	trai-cIvarika; [C]trai-cIvarika (=saMghATy-Adi-tri-cIvara-mAtratvAt)
ཆོས-གོས-ཡོངས-སུ-ལོངས-སྤྱོད-པ	[C]cIvara-paribhoga
ཆོས-ཐོས-པ	[MSA]dharmaM zrutvA
ཆོས-སྤོང-བ	[C]dharma-pratyAkyAna
ཆོས-སྤོང-བར-འགྱུར-བ	[C]dharma-pratyAkhyAna-saMvartanIya
ཆོས-དང-དོན	[MSA]dharmArtha
ཆོས-དང-ལྡན	[MSA] ... dhArmika
ཆོས-དང-མཐུན	[MSA]saha-dhArmika
ཆོས-དང-བདེན-པ-དང-རིགས-པ-དང-ཐེག-པ-གདགས-པ-རྣམ-པར-གཞག-པ	[MSA]dharma-satya-yukti-yAna-prajJapti-vyavasthAna
ཆོས-དང-གང-ཟག	[MV]dharma-pudgala
ཆོས-དང-ཆོས-ཉིད-རྣམ-པར-འབྱེད-པ	dharma-dharmatA-vibhaNga
ཆོས-དང-ལྡན-པ	[C] ... dharma
ཆོས-དང-རྗེས-སུ-མཐུན-པའི-ཆོས-ལ-ཞུགས-ཞིང	[C]dharma-anudharma-pratipanna
ཆོས-དང-མཐུན-པའི-ཆོས-ལ-ཞུགས-པ	[MSA]dharmAnudharma-pratipanna
ཆོས-མིན-བྱ-བ	[C]adharma-kArya
ཆོས-དེ-ལ-ཡོན-ཏན-དུ-བལྟ-བ	[C]guNa-nRzaMsatA
ཆོས-ཀྱིས-འཕགས-པ	[C]dharmodgata
ཆོས-ཀྱིས-ཕོངས-པར-འགྱུར-བ-དང-མཐུན-པ	[C]vyasana (=upaghAtam)
ཆོས-ཀྱིས-ཕོངས-པ-འགྱུར-པ-དང-མཐུན-པ	[C]dharma-vyasana-saMvartanIya
ཆོས-ཀྱིས-བསྡུ-བ	[MSA]dharma-saMgraha
ཆོས-སྲེད-པ	[C]dharma-tRSNA
ཆོས-དཀོན-མཆོག-ལ	[C]dharma-ratna
ཆོས-སྤྱོད-པ	[MV]dharma-carita
ཆོས-སྤྱོད-པ-བཅུ	[MSA]dharma-carita (daza-)
ཆོས-རབ-སྟོན	[MSA]dharma-prakAzana
ཆོས-རབ-ཏུ-རྣམ-པར-འབྱེད-པ	dharma-pravicaya; [MSA]dharma-pravicaya
ཆོས-རྣམ-པར-གཞག-པ	[MSA]dharma-vyavasthAna; [MSA]vyavasthApita-dharma
ཆོས-རྣམ-པར-འབྱེད-པ	dharma-vicaya; [MV]dharma-vicaya
ཆོས-ཉིད-པ	[C]dharmatA
ཆོས-ཉིད-ཕྱིར	[MSA]dharmatas
ཆོས-ཉིད-ཀྱིས-རྣམ-པར-ངེས-པ	[MSA]dharmato vinizcayaH
ཆོས-ཉིད-ཐོབ-པ	[MSA]dharmatA-pratilambha; [MSA]dharmatA-labdha
ཆོས-ཉིད-སྐྱོན-མེད	[C]dharmatA-niyAma
ཆོས-ཉིད-ཀྱི-སེམས	[MSA]citta-tathatA; [MSA]dharmatA-citta
ཆོས-ཉིད-ཀྱི-ཚུལ	[C]dharma-naya (opp. artha-naya)
ཆོས-ཉིད-ཀྱི-རིགས-པ	dharmatA-yukti; [MSA]dharmatA-yukti
ཆོས-ཉིད-དང-ནི-འགལ-བ-མེད	[MSA]aviruddhaiva dharmatA
ཆོས-ཉིད-དང-མི-འགལ-བ	[MSA]dharmatAM na vilomayati
ཆོས-ཉིད-དེ-ཚད-མར-བྱའོ	[C]pramANI-kRtya
ཆོས-འདུལ-བ	dharma-vinaya
ཆོས-མཐུན-པ	sAdharmya; [LCh,MSA]sAdharmya
ཆོས-མཐུན-སྦྱོར-གྱི-སྒྲུབ-ངག	sAdharmya-prayoga-sAdhana-vAkya
ཆོས-རྣམས-སྣ-ཚོགས	[C]vividha-dharma
ཆོས-རྣམས-ལ-སེམས-མཉམ-པ-ཉིད	[MSA]dharmeSu samacittatA
ཆོས-རྣམས-རང-བཞིན	[C]dharma-prakRti
ཆོས-རྣམས-དང-ནི-གང-ཟག	[MV]dharma-pudgala
ཆོས-རྣམས-ཐམས-ཅད	[MSA]sarva-dharma
ཆོས-རྣམས-ཐམས-ཅད-ནི-བདག-མེད	[MSA]sarve dharmA anAtmAnaH
ཆོས-རྣམས-སོ-སོའི-མིང-ནི-སྒྱུ-མ-སྟེ	[C]pratidharma (=dharmA prati nAman)
ཆོས-རྣམས-ཀྱི-སྟོང-པ-ཉིད	[MV]dharmANAm zUnyatA
ཆོས-རྣམས-ཀྱི-ནི-མཆོག-ཡིན	[MSA]dharmANAm uttaraH
ཆོས-རྣམས-ཀྱི-ནི-གཙོ-བོ-སྟེ	[MSA]dharmANAm uttaraH
ཆོས-རྣམས-ཀྱི-ཆོས-ཉིད	[L]dharmANAm dharmatA
ཆོས-རྣམས-ཀྱི-དངོས-པོ-མེད	[MV]dharmAnAm abhAvaH
ཆོས-མངོན-པ	abhidharma; [LCh,MSA]abhidharma
ཆོས-མངོན-རྟོགས	[MSA]dharmAbhisamaya
ཆོས-མངོན-པར-རྟོགས-པ	[MSA]dharmAbhisamaya
ཆོས-མངོན-པའི-མཛོད	abhidharmakoSa; abhidharmakoza
ཆོས-མངོན-པའི-མཛོད-ཀྱི-ཚིག-ལེའུར-བྱས-པ	abhidharmakoSa-kArikA
ཆོས-མངོན-པའི-མཛོད-ཀྱི-བཤད-པ	abhidharmakoSa-bhASya
ཆོས-མཉམ-ཉིད	[C]dharma-samatA
ཆོས-མཉམ-པ-ཉིད	dharma-samatA; [MSA]dharma-samatA
ཆོས-བསྟན-པ	dharma-dezanA; [MV]dharma-dezanA
ཆོས-བསྟན-པ-གཅིག	[C]eka-dharma-dezanA
ཆོས-ངོ-བོ-ཉིད-མེད-པ-ཉིད-དུ-སྟོན-པ	[MSA]dharma-niHsvabhAvatvopadeza
ཆོས-མེད-པ	[MSA]dharmAbhAva
ཆོས-བཏགས-པ-རྣམ-པར-གཞག-པའི-དམིགས-པ	[MV]dharma-prajJapti-vyavasthAnAlambana
ཆོས-ལས-ཆོས-ཉིད-གཞན-ཡིན-པ	[MV]dharmAd anyA dharmatA
ཆོས-ལས-མི-གཡོ	[MSA]dharme 'calaH
ཆོས-གནས-པར-བྱ-བ	[L]dharmasthitaye
ཆོས-ཡིན-པ	dharma
ཆོས-ཐམས-ཅད	[C,MV]sarvadharma
ཆོས-ཐམས-ཅད-ངོ-བོ-ཉིད-མེད-པ-ཉིད-དུ-སྟོན-པ	[MSA]sarva-dharma-niHsvabhAvatvopadeza
ཆོས-ཐམས-ཅད-ནི-བདག-མེད-པའོ	[MSA]sarva-dharmA anAtmAnaH
ཆོས-ཐམས-ཅད-ཀྱི-ཡུལ-ལ-མངའ-བརྙེས-པར-གྱུར	[C]sarva-dharma-viSaya-vazavarttitA (anuprApta)
ཆོས-ཐམས-ཅད-ཀྱི-མཉམ-པ-ཉིད-ལ-གནས-པ	[C]Sarva-dharma-samatA-pratiSThita
ཆོས-ཐམས-ཅད-ལ-བདག-ཏུ-ལོག-པར-འཛིན-པ	[MSA]dharmeSu ... AtmAsadgrAhaH (sarva-)
ཆོས-ཐམས-ཅད-མེད-པ	[C]sarva-dharma-asattA
ཆོས-ཐམས-ཅད-མཉམ-པ-ཉིད	[MSA]sarva-dharma-samatA
ཆུ	jala. toya. pAnIya. ap. vAri. udaka; [LCh,C,L,MSA]jala. toya. pAnIya. ap. vAri. udaka; [LCh,C,MSA]jala. toya. pAnIya. ap. vAri. udaka; [C]daka (=jala. toya. pAnIya. ap. vAri. udaka); [MSA]uda; [MSA]jala. toya. pAnIya. ap. vAri. udaka; [MSA]jala. toya. pAnIya. ap. vAri. udaka; [MSA]nadI; [MSA]jala. toya. pAnIya. ap. vAri. udaka; [C]jala. toya. pAnIya. ap. vAri. udaka; Ap
ཆུ-བོ	[MSA,C]nadI; [C]apaga; [MSA]pravAhinI
ཆུ-བྲན	[C]kunadI
ཆུ-བུར	[C]budbuda; [C]arbuda (=abhivardhamAna-piTakam)
ཆུ-དབུས	[C]jala
ཆུ-ཀླུང	nadI; PataJjali; [L]nadI
ཆུ-ལྟར	[MSA]vAri-sadRza
ཆུ-མིག	utsa; [C]utsa
ཆུ-ཤེལ	[L]candrakAnta
ཆུ-ཤིང	[C]kadalI
ཆུ-ཚོད	[C]nAlikA; [C]nADikAntara
ཆུ-ཞེང	[C]parinAha
ཆུ-ཟླ	udaka-candra; [C,MV]udaka-candra; [C]pratibhAsa
ཆུ-ཤིང-གི-སྙིང-པོ	[C]kadalI-garbha
ཆུ-བུར-རྡོལ-བ-ཅན	nirarbuda
ཆུ-ཡི-ཕུང-པོ	[C]Apa-skandha
ཆུ-ཡི-ཚིགས-པ	[C]udaka-bindu
ཆུ-ཀླུང-ཆེན-པོ	mahA-nadI; [C]mahA-nadI
ཆུ-ཞེང-གབ	[C]maNDala
ཆུ-བཅུ-བར-བྱ	[C]udakaM dAtavyam
ཆུ-ཟླའི-གཟུགས	[MSA]udaka-candra-bimba
ཆུའི-ཀླུང	[L]nadI
ཆུའི-ཕུང-པོ	[C]ap-skandha
ཆུའི-ཆུ-བུར	[C]budbuda
ཆུའི-སྐྱེ-བོ	Udaka-jantu
ཆུབ-བྱེད-པ	[C]paryApunatI
ཆུབ-པའི-སྐྱེ-མཆེད	[C]kRtsna-Ayatana
ཆུད	[C]antar-gata
ཆུད-གཟན	[C]nAzayati; [L]vipraNAza
ཆུད-གཟོན	[C]nAzayati
ཆུད-པ	[L]praveza
ཆུད-ཟ	vipraNAza; vipraNa; vipraNA
ཆུད-ཟ-བ	[MSA]vipraNAza; [L]vipraNA; [L]vipraNa
ཆུད-ཟ-བར-འགྱུར-རོ	[C]vipranAzyati
ཆུད-མ-ཟོས-པར-གྱིས-ཤིག	[C]nAzayitavyam
ཆུད-གཟན-ཅིང	[C]nAzayeH
ཆུད-གཟན-པར-གྱུར-ན	[C]nAzayeH
ཆུད-མི-གཟོམ	[C]vipraNAzayati (=anyathA-karaNam)
ཆུད-མི-ཟ	[C]anAza
ཆུད-མི-ཟ-བ	[L]avipraNA; [L]avipraNa; [MSA]avipraNAza; [MSA]abandhya
ཆུད-མི-ཟ-བའི-རྒྱུ-ཡིན-པ	[MSA]avipraNAza-hetutva
ཆུད-མི-གཟན-ཕྱིར	[C]avipraNAze
ཆུད-ཟོས-པ	vipraNAza; vipraNa
ཆུད-ཟོས-པར-གྱིས-ཤིག	[C]nAzayitavyam
ཆུད-པར-འགྱུར	[C]pratividhyati
ཆུང	parItta; [MSA]alpa; [MSA]tanu; [MSA]parItta; [C,MSA]mRdu
ཆུང-བ	parItta. alpa; [LCh,MSA,C]parItta. alpa; [MSA]nyUna; [MSA,C]parItta. alpa
ཆུང-བའི	[C]parIttatva
ཆུང-བར	[C]mRduka
ཆུང-མ	dAra; [C]prajApati; [MSA]dAra; [MSA]bhAryA
ཆུང-ན	[C]antazas
ཆུང-ངུ	parItta. mRdu. alpa; [MSA,C]parItta. mRdu. alpa; [MSA]parItta. mRdu. alpa-mAtra; [MSA,C]parItta. mRdu. alpa; [MV]pratanu; [MSA]mRdvI; [C]antazas
ཆུང-ངུ-ཡིད-ལ-བྱེད-པ	[MSA]parItta-manaskAra
ཆུང-ངུ-དང-ཆེན-པོ	[MSA]mRdv-adhimAtra
ཆུང-མར-བཅས-པ	[C]sa-putra-dAra
ཆུང-ངུས-ཆོག-ཤེས-པ	[MSA]alpa-mAtra-saMtuSTa
ཆུང-ངུའི-འབྲིང	mRdumadhya
ཆུང-ངུའི-སེམས	[MV]hIna-citta
ཆུང-ངུའི-ཆུང-ངུ	[C]mRdu-mRdu
ཆུང-ངུའི-ཆེན-པོ	mRdvadhimAtra
ཆུས	[C]udaka
ཆུས-བརྟན-ཏེ	[C]udakaM dadyAd
ཅི	kim
ཅི-དགོས	[C]kimuta
ཅི-སྟེ	[C]athavA
ཅི-རིགས-སྦྱར	[MV]yathArhatas
ཅི-ཐོད-ཐོད-སྨྲ-བ	[C]yat-kiJcana-pralApin
ཅི-འང-མེད-པ	[C]AkiMcanaya; AkiMcanya
ཅི-འང-མེད-པའི-སྐྱེ-མཆེད	[C]AkiMcanyAyatana
ཅི-ཕྱིར-ཞེ-ན	[C]kiM kAraNam
ཅི-ཡང-མེད	[LCh]AkiMcanya; akiMcanya
ཅི-ཡང-མེད-པའི-སྐྱེ-མཆེད	[LCh]AkiMcanyAyatana
ཅི-འདྲ-བ	[C]atha
ཅི-སླད-ཞེ-ན	[C]kiM kAraNam (=na khalu punar)
ཅི-ལ-གནས	[L]kiM saMnizritya
ཅི-ལ-བརྟེན-ཏེ	[L]kiM pratiSThAya
ཅི-བར-མ-དོར	[C]antarA
ཅིག-ཅར	sakRt; [LCh,C]sakRt. [MSA]yugapad; [MSA]sakRt; [MSA]asakRt (?); [C]yamaka
ཅིག-དང-ཡུད-ཙམ-ཞིག	muhUrta
ཅིག-ཅར-དུ	[LCh]yugapad
ཅིག-ཆར-དུ	[LCh]yugapad
ཅོ	[MSA]keza
ཅོག-བུ-པ	[C]naiSad(y)ika
ཅུང-ཟད	alpa; kiMcit; [MSA]kiMcid; [MSA]alpa; [MSA]alpa-mAtra; [C]aNu
ཅུང-ཟད-ཀྱང	kimcit
ཅུང-ཟད-མི	kiMcit
ཅུང-ཟད-ཙམ	alpa-mAtra; [MSA]alpa-mAtra; [MSA]kiMcid; [MSA]kiMcitka
ཅུང-ཟད-ཙམ-ཞིག	alpa-mAtra; [C]alpa-mAtra
ཅུང-ཟད-ལྐོག-གྱུར	kiMcid-parokSa
ཅུང-ཟད-ལྐོག-ཡུར	kimcidparokSa
དྷི	dhi
དྷུ-ཏི	avadhuti
ད	[LCh]idAnIm; [C]adya
ད-ལྟ	[C]etarahi
ད-ལྟར	[C]ete hi; [C]pratyutpanna; [MSA]adhuna
ད-ནི	[MV]idAnIm
ད-ལྟར-བྱུང-བ	pratyutpanna; [C,MSA,MV]pratyutpanna
ད-ལྟར-བྱུང-བར	[C]pratyupanna
ད-དུ-ར	dhattUra
དད-ལྡན	[MSA]zrAddha
དད-པ	prasAda. zraddhA; [C,MSA,MV]zraddha; [MSA]zraddadhAna; [MSA,MV]prasAda. zraddhA; [C]zraddadhAnatA; [C,MSA]prasAda. zraddhA [C](=abhisampratyaya-darzanAd abhivardhamAna-zraddaH = buddha-dharma-saMgha-AzayaH = guNavattva-darzanAd bhakti-vizeSaH); [MSA]bhakti; [MSA]ruci; [C]astitvena-abhisaMpratyayaH
དད-པར	[C]zrAddha
དད-ཐོབ	[C]zraddhA-prApta
དད-མ-ཡིན	[C]asakta; azrAddha
དད-པའི-ས	zraddha-bhUmi
དད-པའི-རྗེས-སུ-འབྲང-བའི-ས-ལ	[C]zraddhA-anusAri-bhUmi
དད-པའི-དབང-པོ	[MSA]zraddhendriya
དད-པར-འགྱུར	[MSA](pra √sad): prasIdati
དད-པར-གྱིས	[C]zraddadhata
དད-པར-མེད-པར	[C]azrAddha
དད-པར-གྱུར-པ	[MV]zraddadhAna
དད-པ-དག	[C]zrAddha
དད-པ-བསྐྱེད-ནས	[MSA]prasAdaM janayitvA
དད-པ-ཐོབ-པ	[MSA]prasAda-lAbha
དད-པ-ཡོངས-སུ-སྨིན-པ	[MSA]prasAda-paripAka
དད-པ-དང-ལྡན-པ	zrAddha; [C]zrAddha
དད-པ-དང-དགའ-བ-དང-བློའི-རྒྱུ	[MSA]bhakti-tuSTi-buddhi-hetutva
དད-པ-མང-བ	zraddha-bahula
དད-པ-སྐྱེད-པར-བྱེད-པ	[MSA]zraddhAyAs ... avaropaNAt (or: avaropaNa)
དད-པ-ལ-སོགས-པ-དགེ-བའི-ཆོས-སུ-སྣང-བ	[MSA]zraddhAdi-kuzala-dharmAbhAsa
དད-པ-ལ-སོགས-པའི-རྣམ-པ	[MSA]zraddhAdy-AkAra
དད-པ-ཡིད-ལ-བྱེད-པ	[MSA]ruci-manaskAra
དད-དང-འདུན-ལ-བརྟེན-པ	[MSA]zraddhA-cchanda-pratiSThita
དག	[MV,MSA]vizuddha; [C]zuddhatva; [MSA]vizuddhi; [MSA]zuddha; [MSA]zuddhi; [MSA]zuddhA
དག-དང	[C]sArdham
དག-པ	zuddha. zuddhi. vizuddhi; [LCh,C,MSA]zuddha. zuddhi. vizuddhi; [C]parizuddha; [C]zuddhaka; [C,MV,MSA]zuddha. zuddhi. vizuddhi; [MSA]zuddha. zuddhi. vizuddhi; [MSA]zuddhA; [C]zuci
དག-ཞིང	kSetrazuddhi
དག-གྱུར-པ	[MSA]zuddhim AgatA
དག-དང-མ-དག-མིན	[MV]zuddhA 'zuddhA na
དག-པ-ཉིད	[C]zuddhatva; [C]zuddhatA
དག-པ-མ-ཡིན	[MSA]na zuddhA
དག-པ-རབ-འགྱུར	zuddhi ... prabala
དག-པ-ཕ-རོལ-འགྲོ	[MSA]vizuddhi-pAraga
དག-པ-འཇུག-པ	[MSA]zuddhi-vizana (sic)
དག-པའི-བདག-ཐོབ	[MSA]zuddhAtma-lAbhitva
དལ	kSaNa
དལ-འབྱོར	[LCh]kSaNa-saMpad; kSaNasampad
དལ-བ	[LCh,C,MSA]kSaNa; [MSA]zithila
དལ-བར-སྐྱེ-བ	[MSA]kSaNopapatti
དལ-བ-ཆུད-གསོན-པ-དག-མཐོང-ནས	[C]kSaNAMz ca virAgayataH pazyati
དམ	vA
དམ-བཅའ	[LCh]pratijJA
དམ-བཅས	[C]pratijJA
དམ-ཆོས	[LCh,C,MSA]sad-dharma
དམ-པ	parama. sat. agra. vara; [LCh,C]parama. sat. agra. vara; [C]pravara; [C]uttama; [LCh,C,MSA,MV]parama. sat. agra. vara; [MSA]para; [MSA]paramata; [C]parama. sat. agra. vara; [C]zreSTha; [C]parama. sat. agra. vara; [C]sAra (=pradhAna); [C]pradhAna
དམ-པོ	[MSA]gADha
དམ-ཚིག	[LCh,C]samaya
དམ-བཅས-པ	[MSA]pratijJatva
དམ-པ-མ-ཡིན-པའི-ཆོས	asat-dharma
དམ-པ-མ-ཡིན-པའི-ཆོས-ཡོངས-སུ-འཛིན-པ	[C]asaddharma-parigrAha
དམ-པ-ཡིན-པ	[C]paramatva
དམ-ཆོས-ལེགས-གཞག-པ	[MSA]sudharma-suvyavastha
དམ-ཆོས-ཆེར-གཟུང	[MSA]sad-dharma-mahA-parigraha
དམ-ཆོས-ཡུན-རིང-གནས-པ	[MSA]sad-dharmasya sthitir dIrghA
དམ-ཆོས-བསྒྲུབ-པར-བྱ-བ	[MSA]saddharma-pratipatti
དམ-པར-སྒྲུབ-པ	[MV]paramA pratipattiH
དམ-པའི-ཆོས	[C,MSA,N]saddharma; sat-dharma
དམ-པའི-དོན	[C,MSA,MV]parama-artha; paramasyArtha
དམ-པའི-ཆོས-ཡུན-རིང-དུ-གནས-པར-བྱ-བ	[C](saddharma) cira-sthiti-hetor
དམ-པའི-ཆོས-འཛིན-པ	[MSA]sad-dharmasya dhAraNa(M)
དམ-པའི-ཆོས-ཀྱང-ཡུན-རིང-དུ-གནས-པར-འགྱུར	[MSA]cira-sthitiko bhavati (sad-dharmaz ca-)
དམ-པའི-ཆོས-འཇིག-པའི-དུས-ཀྱི-ཚེ	[C]saddharmasya-antardhAna-kAla-samaya
