འབད-པ	compare: {རྩོལ་བ}, exertion; {བརྩོན་འགྲུས}, effort
དྲན-པའི-རྟོག-པ	Comment: This is one of the seven types of facsimiles of direct perception (mngon sum ltar snang): mistaken conceptions ('khrul ba'i rtog pa), conventional conceptions (kun rdzob kyi rtog pa), inferential conceptions (rjes dpag gi rtog pa), conceptions arisen from inference (rjes dpag las byung ba'i rtog pa), memory conceptions (dran pa'i rtog pa), wishing conceptions (mngon 'dod kyi rtog pa), and non-conceptual facsimilies of direct perception (rtog med mngon sum ltar snang).
དྲན-པ-ནེར-གཞག	see: {དྲན་པ་ཉེ་བར་བཞག་པ}
དྲང	(PGH) shouldn't this be "interpretable"?
དྲང-དོན	Comment: Literally this would be translated as "a meaning that must be led."
དྲང-བའི-དོན	Comment: Literally this would be translated as "a meaning that must be led."
དྲང-སྲོང-སྨྲ-བ	name of a park near Benaras where Buddha delivered many of his sermons
དྲང-སྲོང-སྨྲ-བ-རི-དགས-ཀྱི-ནགས	a park near Benares where Buddha delivered many of his sermons
དྲང-སྲོང-ལྷུང-བ-རི-དྭགས-ཀྱི-གནས	a park near Benares where Buddha delivered many of his sermons
དྲེད	Comment: a big animal with a large forehead that will rise up and even grab a person and tear it in half -- its feet being like a human's but it does not have heels; it has a white spot on the the chest and is yellow or black.
དྲེགས-པ	Comment: referring to a quality of mind.
དྲི-མ	compare: {ཟག་པ} (contaminant, contamination) and {སྒྲིབ་པ} (obstruction, defiled)
དྲི-ཟར	see: {དྲི་ཟ}
དྲི-འཛིན-དབང-མངོན	one of the five types of sense direct perceivers; the others correspond to the other senses
དྲི-མ-མེད-པ	second of the ten Bodhisattva grounds (sa, bhUmi); for others see: {ས}
དྲི-མ-མེད-པའི-ས	see previous entry
དྲི-ཟར-བཅས-པ	see: {དྲི་ཟ}
དྲིའི-སྐྱེ-མཆེད	odor sense-sphere; Comment: This is one of the five divisions of external form (phyi'i gzugs): form sense-sphere (gzugs kyi skye mched); (2) sound sense-sphere (sgra'i skye mched); (3) odor sense-sphere (dri'i skye mched); (4) taste sense-sphere (ro'i skye mched); (5) tangible object sense-sphere (reg bya'i skye mched).
དྲོ-བ	see: {དྲོད}, heat
དྲོ-བར-གྱུར-བ	heat; see: {དྲོད}, heat
དྲོད	first part of the path of preparation (sbyor lam); the others are: peak (rtse mo); forbearance (bzod pa); and supreme mundane qualities (chos mchog)
དྲོད-རྩེ-སྦྱོར	Comment: This is the second of four levels of the path of preparation.
དུ-བའི-དངོས-སུ-སྐྱེད-བྱེད	definition of direct cause of smoke (du ba'i dngos rgyu)
དུད-འགྲོའི-རྟེན-ཅན-གྱི-སོ-སོའི-སྐྱེ-བོ	one of the six types of beings
དུམ-བུ	get ex from Ship on length of YT texts SW added entry. Sanskrit is from Das (p.630), for which there is no abbreviation
དུང-དཀར-སེར-པོར-སྣང-བའི-དབང-ཤེས	example of a mistaken consciousness that is a sense consciousness (dbang shes su gyur pa'i log shes)
དུས	one of the five associational causes (mtshungs ldan lnga); for others see: {མཚུངས་ལྡན}
དུས-འཁོར	name of a Tantra
དུས-ཆོགས	Check entry ? (T)
དུས-སུ-སྨྲ-བ	Wylie entry originally had: dus su smra smra ba but double smra doesn't mirror Sanskrit, so I took it out. (T)
དུས-ནམ-ཞིག-ན	SW added this record
དུས-མཐའི-སྐད-ཅིག-མ-གྱུར-པའི-བུམ-པ	example of something that is only a creative cause (byed rgyu)should this be "skad cig mar"? (SW)
དུས-བརྟེན-པའི-རྟག-པ	one of the divisions of rtag pa (permanent phenomenon); the other is occasional permanent (res 'ga' ba'i rtag pa)
དུས-གཞན-ལ-དགོངས-པ	Comment: dgongs pa (abhiprAyA) is often mistranslated as "intention," but this does not accord with the following:\nFour Thoughts\nThinking of sameness (mnyam pa nyid la dgongs pa, samatAbhiprAya)\nThinking of another meaning (don gzhan la dgongs pa, arthAntarAbhiprAya)\nThinking of another time (dus gzhan la dgongs pa, kAlAntarAbhiprAya)\nThinking of a person's attitude (gang zag gi bsam pa la dgongs pa, pudgalAntarAbhiprAya)\n\nFour Intentions:\nIntending entry [into the teaching] (gzhug pa la ldem por dgongs pa, avatAranAbhisaMdhi)\nIntending the [three] characters (mtshan nyid la ldem por dgongs pa, lakSaNAbhisaMdhi)\nIntending an antidote (gnyen po la ldem por dgongs pa, pratipakSAbhisaMdhi)\nIntending translation (sbyor ba la ldem por dgongs pa/ bsgyur ba la ldem por dgongs pa, pariNAmAbhisaMdhi)\n\n"Thought" (dgongs pa) is [posited] from the viewpoint of indicating the basis in [Buddha's] thought, "Thinking of this, [such and such] was said," and "intention" (ldem dgongs) is [posited] from the viewpoint of indicating purpose, "[Such and such] was said for this purpose." Since thought and intention are posited in different ways with respect to one non-literal sUtra, [a sUtra having an] intention and [a sUtra having a] thought must be asserted as mutually inclusive. The basis in [Buddha's] thought is just what the Teacher has set in [his] mind and is not relative to another, the trainee, and purpose definitely must rely on another, the trainee, since it is for sake of taking care of another. See Ann, dngos, 134.5.
དྭ-བ	(PH) Clark's _The Quintessence Tantras_ (p.164) identifies this as "a type of typhonium giganteum. Engl.: arisaema intermedium; arisaema lobatum; arisaema consanguineum" Add?
དྭངས-མ	get ex SW added this entry Tshig 1313.1
དྭོགས	see: {དོགས}, {དོགས་པ}\ncompare: {ཐེ་ཚོམ}, doubt
གཡེར-མ	(PH) Clark's _The Quintessence Tantras_ (p.165) identifies this as "zanthoxylum" Add?
གཡོ	zAThya; Comment: This is one of the twenty secondary afflictions (nye nyon nyi shu, upakleza): (1) belligerence (khro ba, krodha); (2) resentment ('khon 'dzin, upanAha); (3) concealment ('chab pa, mrakSa); (4) spite ('tshig pa, pradAsa); (5) jealousy (IrSyA); (6) miserliness (mAtsarya); (7) deceit (sgyu, mAyA); (8) dissimulation (g.yo, zAThya); (9) haughtiness (rgyags pa, mada); (10) harmfulness (rnam par 'tshe ba, vihiMsA); (11) non-shame (ngo tsha med pa, AhrIkya); (12) non-embarrassment (khrel med, anapatrApya); (13) lethargy (rmugs pa, styAna); (14) excitement (rgod pa, auddhatya); (15) non-faith (ma dad pa, Azraddhya); (16) laziness (le lo, kausIdya); (17) non-conscientiousness (bag med pa, pramAda); (18) forgetfulness (brjed nges pa, muSita-smRtitA); (19) non-introspection (shes bzhin ma yin pa, asaMprajanya); (20) distraction (rnam par g/yeng pa, vikSepya).
གཡོ-ལྡན	Comment: This is one of the eight smaller continents of Buddhist cosmology (gling phran brgyad) that, two each, are next to four large continents: In the center, is the monarch of mountains, ri rab (meru). The four continents and eight smaller continents are (1) shar lus 'phags po (videha), the eastern continent "land of [those with] superior/large bodies" with lus (deha) and lus 'phags (videha); (2) lho 'dzam bu gling (jambudvIpa), the southern continent "Jambu-tree land" with rnga yab (cAmara) and rnga yab gzhan (aparacAmara); (3) nub ba blang spyod (godanIya) the western continent "land of using cattle" with g.yo ldan (sAthA) and lam mchog 'gro (uttaramantriNa); (4) byang sgra mi snyan (kuru), the northern continent "land of unpleasant sound" with sgra mi snyan (kurava) and sgra mi snyan kyi zla (kaurava). Surrounding all of these is an outer rim of iron mountains.
གཡོས	SW added Eng. "stir"
ག-ལེར	Comment: Nga-w#ang-lek-den (ngag dbang legs ldan) suggested that ga le may have derived from gang legs (whatever is good).
ག-ལས-འཇིགས-མེད	Comment: Some attribute the text to NAgArjuna, but others cite the fact that the text quotes A#ryadeva as evidence that it could not have been composed by NAgArjuna, who was A#ryadeva's teacher. Ge-s#hay Ge-dün-l#o-drö suggested that this may also be the name of the author of the commentary, the text having been given the name of the author as is the case with the BuddhapAlita Commentary on NAgArjuna's Treatise on the Middle.
གལ-ཏེ	Comment: Usually used with na.
གམ	Comment: One of ten particles used with a disjunctive ("or") or conjunctive ("and") sense.
གང-བ	Comment: rab tu gang ba = pratipUrNa(MSA).
གང-དག	Comment: Used often as a correlative with de dag.
གང-གིས	Comment: Used often as a correlative with de.
གང-ཕྱིར	Comment: Used often as a correlative with de phyir.
གང-ཚེ	Comment: Often used as a correlative with de'i tshe.
གང-ཡང	Comment: See gang rung.
གང-ཟག	Comment: Ken-sur Nga-w#ang-lek-den etymologized this is "full-fall", i.e., one who is filled with the afflictions and has fallen into cyclic existence. As he said, this is not true of all persons, because even a Buddha, for instance, is a person. It is to be noted that animals, for instance, are persons. It is said that in general "self" (bdag, Atman) "person," and "I" (nga, ahaM) are equivalent, but in the particular context of the selflessness of persons "self" and "person" are not at all equivalent and do not at all have the same meaning. In the term "selflessness of persons," "self" refers to a falsely imagined status that needs to be refuted, whereas "persons" refers to existent beings who are the bases with respect to which that refutation is made. All four Buddhist schools, therefore, hold that persons exist; they do not claim that persons are mere fictions of ignorance. The schools hold differing opinions on the nature of the person. According to Ge-luk-b#a scholars, all except the Middle Way Consequence School posit something from within the bases of imputation of a person — usually either mind or the collection of mind and body — as being the person. In contrast, the Consequence School holds that, even though a person is imputed in dependence upon mind and body (in the Formless Realm, a person is imputed in dependence only on mind), the person is neither mind nor body nor a collection of mind and body, since it is just the I that is imputed in dependence upon mind and body. Following the lead of ChandrakIrti, recognized by most as the founder of the Consequence School, Ge-luk-b#a scholars identify how in the other schools some factor among the five aggregates (forms, feelings, discriminations, compositional factors, and consciousnesses) or the collection of them is considered to be the person when sought analytically from among its bases of imputation: the Proponents of the Great Exposition, in general, hold that the mere collection of the mental and physical aggregates is the person; however, some of the five SaMmitIya subschools of the Great Exposition School maintain that all five aggregates are the person (although the absurdity of one person being five persons would seem difficult not to notice) while another subschool, the Avantaka, asserts that the mind alone is the person; the SUtra School Following Scripture assert that the continuum of the aggregates is the person; the SUtra School Following Reasoning maintains that the mental consciousness is the person; the Mind-Only School Following Scripture holds that the mind-basis-of-all (kun gzhi rnam par shes pa, AlayavijJAna) is the person; the Mind-Only School Following Reasoning asserts that the mental consciousness is the person; both the Yogic Autonomy School and the SUtra Autonomy School assert that a subtle, neutral mental consciousness is the person. For the most part, the delineation of what these schools assert to be the person is a matter of conjecture and not reporting of forthright statements in these schools' own texts. Though it is clear that most of these schools (if not all) accept that persons exist, it is often not clear in their own literature that they assert that something from within the bases of imputation of a person is the person. Rather, as presented in Vasubandhu's commentary on the ninth chapter of his Treasury of Manifest Knowledge, persons are merely asserted to be "non-associated compositional factors" (ldan min 'du byed, viprayuktasaMskAra) and thus an instance of the fourth aggregate, compositional factors, without a specific identification — of any of the five aggregates that are a person's bases of imputation — as the person.
