ངན-སོང-སྤོང	Abandoner of Unfavorable Rebirths
འགོག-པ-འཕགས-པའི-བདེན-པ	 Noble truth of the cessation of suffering| Noble truth of the cessation of suffering |Noble truth of the cessation of suffering 
འགོག-པ-ཤེས-པ	 Knowledge of the cessation of suffering| Knowledge of the cessation of suffering |Knowledge of the cessation of suffering 
ཟག-པ-ཟད-པ-ཤེས-པ-མངོན-སུམ-དུ-བྱ-བ-ཤེས-པའི-མངོན-པར-ཤེས-པ	 Extrasensory power realizing knowledge of the cessation of contaminants| Extrasensory power realizing knowledge of the cessation of contaminants |Extrasensory power realizing knowledge of the cessation of contaminants 
འདུ-ཤེས-དང-ཚོར-བ-འགོག-པ-བསྒྲུབས-ཏེ-གནས-པ	 One achieves and abides in the cessation of all perceptions and feelings| One achieves and abides in the cessation of all perceptions and feelings |One achieves and abides in the cessation of all perceptions and feelings 
ཕུབ-མའི-སྦྱིན-སྲེག	 Chaff homa| Chaff homa |Chaff homa 
དུན-པ	 Chanda|Chanda 
འདུན-པ	 Chanda | Consent|Consent 
རྩ	 Channels|Channel 
གཞི	 Ground|Chapter 
ལེའུ	Chapter
ཚངས-པར-སྤྱོད-པ	 Chaste life | Holy life | Practice of chastity|Chaste life 
བཙོངས-པ	Chattel
གདུགས-དམ-པའི-དཔལ	 Chattrottama­śrī|Chattrottama­śrī 
ཤུག-པ	Cherry wood
སྟོང-གི-འཇིག-རྟེན-གྱི-ཁམས	Chiliocosm
སྟོང-ཆུང-ངུའི-འཇིག-རྟེན-གྱི-ཁམས	Chiliocosm
ཆོས-ཉིད-ཚུལ-ཁྲིམས	 Dharmatāśīla| Dharmatāśīla |Chönyi Tsültrim 
རྟག-པའི-རིམས	Chronic fevers
ཀེ-ཀེ-རུ	Chrysoberyl
སྲུབ-པའི-སྦྱོར-བ	Churning method
བི-ཅི-ཀུཎྜ-ལི	 Cibikuṇḍalin|Cibikuṇḍalin 
ཤིང-ཚ	Cinnamon
རྐྱེན-གྱི-རྒྱལ-བ	 Circumstantial victorious one|Circumstantial victorious one 
ག-པ	 Citrā|Citrā 
ནག-པ	 Citrā|Citrā 
སྣ-ཚོགས-བརྩེགས	 Citrakūṭa|Citrakūṭa 
སྣ-ཚོགས-སྡེ	 Citrasena|Citrasena 
བཱི-ཛ-པཱུ-ར-ཀ	Citron
མ-ཏུ-ལུང-ཀ	Citron
སེམས-ཙམ	 Cittamātra|Cittamātra 
སྣ-ཚོགས-ཀྱི-རྒྱལ-པོ	 Cittarāja|Cittarāja 
རྫ-རྔ	 Clay kettledrum | Mṛdaṅga drum| Mṛdaṅga drum |Clay drum 
གྲོག-མཁར-གྱི-ས	Clay from an anthill
མངོན-པར-རྟོགས-པ	Clear realization
སྐད-ཅིག-མ-གཅིག-གིས-མངོན-པར-རྟོགས-པ	 Instantaneous clear realization|Instantaneous clear realization 
མཐར-གྱིས-པའི-མངོན-རྟོགས	 Serial clear realization|Serial clear realization 
རྩེ-མོར-ཕྱིན-པའི-མངོན-རྟོགས	 Culminating clear realization|Culminating clear realization 
རྣམ-ཀུན-མངོན-རྫོགས-རྟོགས-པ	 Clear realization of all phenomena| Clear realization of all phenomena |Clear realization of all phenomena 
འདུ-ཤེས	 Identification | Intellect | Notions | Perception | Perceptions|Clear understanding 
ཀ-ཊ-ཀཾ	Clearing nut
ཚེམས-ཐགས-བཟང	Close-fitting teeth
ཁ-དོག-རན-པ	Cloth of a fitting color
ན-བཟའ	Clothing
ཆོས-ཀྱི-སྤྲིན	 Cloud of Dharma| Cloud of Dharma | Clouds of Dharma |Cloud of Dharma 
ཆོས-སྤྲིན	 Clouds of Dharma| Clouds of Dharma |Clouds of Dharma 
ཨུ-དུམ-བཱ-ར	 Cluster fig|Cluster fig 
ན-རི-ཀེ-ལ	Coconut palm
ཤེས-པ	 Knowledge|Cognition 
མངོན-པར-ཤེས-པ	 Extrasensory power | Higher cognition | Higher knowledge | Superknowledges|Higher cognition 
ཡེ-ཤེས	 Gnosis | Knowledge | Primordial wisdom| Primordial wisdom | Pristine cognition | Wisdom |Pristine cognition 
ཡིད-ཀྱི-རྣམ-པར-ཤེས-པ	 Mental cognition | Mental consciousness| Mental consciousness |Mental cognition 
དེ-བཞིན-གཤེགས-པའི-ཐམས-ཅད-མཁྱེན-པ-ཉིད-ཀྱི-ཡེ-ཤེས	 Pristine cognition of omniscience| Pristine cognition of omniscience |Pristine cognition of omniscience 
ཕྱིར-མི-ལྡོག-པའི-ཡེ-ཤེས	 Irreversible pristine cognition| Irreversible pristine cognition |Irreversible pristine cognition 
ཟག-མེད-པའི-ཡེ-ཤེས	 Uncontaminated pristine cognition| Uncontaminated pristine cognition |Uncontaminated pristine cognition 
ཡེ-ཤེས-ཏོག	 Crest of Pristine Cognition| Crest of Pristine Cognition | Jñānaketu |Crest of Pristine Cognition 
རྣམ-པར-གྲོལ-བ-ཉམས-པ-མེད-པའམ-རྣམ-པར-གྲོལ-བའི-ཡེ-ཤེས-མཐོང-བ-ཉམས-པ-མེད-པ	 Do not degenerate in their liberation, nor in their perception of liberating pristine cognition| Do not degenerate in their liberation, nor in their perception of liberating pristine cognition |Do not degenerate in their liberation, nor in their perception of liberating pristine cognition 
ད-ལྟར-བྱུང-བའི-དུས-ལ-མ-ཆགས-མ-ཐོགས-པའི-ཡེ-ཤེས-གཟིགས-པར-འཇུག-གོ	 Engage in the perception of pristine cognition which is unobstructed and unimpeded with respect to the present| Engage in the perception of pristine cognition which is unobstructed and unimpeded with respect to the present |Engage in the perception of pristine cognition which is unobstructed and unimpeded with respect to the present 
འདས-པའི-དུས-ལ-མ-ཆགས-མ-ཐོགས-པའི-ཡེ-ཤེས-གཟིགས-པར-འཇུག-གོ	 Engage in the perception of pristine cognition which is unobstructed and unimpeded with respect to the past| Engage in the perception of pristine cognition which is unobstructed and unimpeded with respect to the past |Engage in the perception of pristine cognition which is unobstructed and unimpeded with respect to the past 
མ-འོངས-པའི-དུས-ལ-མ-ཆགས-མ-ཐོགས-པའི-ཡེ-ཤེས-གཟིགས-པར-འཇུག-གོ	 Engage in the perception of pristine cognition which is unobstructed and unimpeded with respect to the future| Engage in the perception of pristine cognition which is unobstructed and unimpeded with respect to the future |Engage in the perception of pristine cognition which is unobstructed and unimpeded with respect to the future 
རྣམ-པར-ཤེས-པར-བྱེད-པ	Cognizance
རབ-ཏུ-ཤེས	 Fully aware (be)|Cognize 
རྣམ-པར-ཤེས-པ	 Consciousness| Consciousness |Cognized 
ཀཱར-ཥཱ-པ-ཎ	Coin
ཐལ-གོང-རྒྱས-པ	Collarbones that are well covered
ཚོགས	 Provision|Collection 
འཇིག-ཚོགས	 Materiality | Transitory collection|Transitory collection 
མདོ-སྡེ	 Collection of sūtras | Sūtra| Sūtra |Collection of sūtras 
མིག-སྨན	Collyrium made from the vitriol of copper
འདུས-པ-ལས-གྱུར-པའི-ནད	Combined humoral disorders
དགེ-སློང-ཚུར-ཤོག-གི-བསྙེན-པར-རྫོགས-པ	 “Come, join me, monk.”| “Come, join me, monk.” |“Come, join me, monk.” 
གྲངས-སུ-འགྲོ	Come to be styled
གླེགས-བམ-དུ-ཆུད-པར-བྱེད-པ	Commit to writing
ཡི-གེར-འབྲི	Commit to writing
དམ-ཚིག	 Commitment | Samaya | Samaya vows| Samaya vows |Commitment 
ཤ-རི-ཁཎྜ	Common milk hedge
ཐུན-མོང-གི-ཆོས	 Common phenomena|Common phenomena 
སྙིང-རྗེ	Compassion
སྙིང-རྗེ-ཆེན-པོ	 Great compassion| Great compassion |Great compassion 
ཡུལ-ལས-བྱེད-པའི-དགེ-འདུན	 Competent monk|Competent monk 
གང-པོ	 Complete | Pūrņa | Pūrṇa| Pūrṇa |Complete 
རིན-ཆེན-ཀུན-ནས-བསགས-པ	 Complete Gathering of Wealth| Complete Gathering of Wealth |Complete Gathering of Wealth 
ཀུན-ཏུ-རྟོག-པ	 Complete mental construction| Complete mental construction | Mental construction |Complete mental construction 
ཡང-དག-པ-དང-ལོག-པ-ཐམས-ཅད-ཡང-དག-པར-སེལ-བ	 Complete Elimination of Right and Wrong|Complete Elimination of Right and Wrong 
རབ-ཏུ-གདོན-མི-ཟ-བ-པད-མོ-རྒྱས-པའི-སྐུ	 Whose Body is the Blossoming Lotus of Complete Absence of Doubt| Whose Body is the Blossoming Lotus of Complete Absence of Doubt |Whose Body is the Blossoming Lotus of Complete Absence of Doubt 
སྤྱན-གྱི-ཚོགས-ཡོངས-སུ-རྫོགས-པ	Completely perfect eyeballs
རྫོགས-རིམ	Completion stage
རྫོགས-པའི-རིམ-པ	Completion stage
འདུས-པ	 Subsumed|Complexes 
མདོག-གསལ-བ-དག	Complexion is radiant
འདུ-བྱེད	 Compounded phenomena| Formation | Formative factors | Formative predisposition | Formative predispositions | Mentation | Motivation |Compounded phenomena 
ཡོངས-སུ-ཤེས	Comprehend
ཡོངས-སུ-ཤེས-པར-བྱེད-འདོད-པ	 Wish to comprehend| Wish to comprehend |Wish to comprehend 
རྟོག-པར-བྱེད	Conceive of
གདགས-པ-ཡོད	Conceived
བསམ-གཏན-གྱི-ཕ-རོལ-ཏུ-ཕྱིན-པ	 Transcendent perfection of meditative concentration| Transcendent perfection of meditative concentration |Transcendent perfection of meditative concentration 
བྱང-ཆུབ-ཀྱི-སེམས-བསྐྱེད-པ	 Conception of the spirit of enlightenment| Conception of the spirit of enlightenment |Conception of the spirit of enlightenment 
སྤྲོས-པ	 Conceptualization | Mental activity|Conceptual elaboration 
སྤྲོས-བྲལ	 Free from conceptual elaboration|Free from conceptual elaboration 
རྣམ-པར-རྟོག-པ	 Conceptualization | False imagination | Mental construct| Mental construct |Conceptual notion 
མཚན-མ	 Mental image | Sign|Conceptualization 
རྣམ-པར-མི-རྟོག-པ-ཉིད	 Non-conceptualization|Non-conceptualization 
མཚན-མ-མ-མཆིས-པ-དང-ལྡན-པ	 Free from conceptualization|Free from conceptualization 
མཚན-མར-བྱེད	Conceptualize
མཚན-མར-འཛིན	Conceptualize
མིང-གི-བརྡར-བཏགས-པ	Conceptualized as names and symbols
མཇུག-སྡུད	Conclusion
མཚུངས-ལྡན	Concomitance
མཚུངས-པར-ལྡན-པའི-སེམས	 Mind with its [five aspects of] concomitance| Mind with its [five aspects of] concomitance |Mind with its [five aspects of] concomitance 
མངོན-པར-འདུ-བྱེད	 Condition (something) | Formative factors|Condition (something) 
རྐྱེན	Condition
འདུས-བྱས	Conditioned
འདུས-བྱས-ཀྱི-ཁམས	 Conditioned element| Conditioned element |Conditioned element 
འདུས-བྱས-ཀྱི-ཆོས	 Conditioned phenomena| Conditioned phenomena |Conditioned phenomena 
འདུས-བྱས-སྟོང-པ-ཉིད	 Emptiness of conditioned phenomena| Emptiness of conditioned phenomena |Emptiness of conditioned phenomena 
འདུས-བྱས-ཀྱིས-རབ-ཏུ-ཕྱེ-བ	 Well distinguished by conditioned phenomena| Well distinguished by conditioned phenomena |Well distinguished by conditioned phenomena 
མིག-གི-འདུས-ཏེ-རེག-པའི-རྐྱེན-གྱིས-ཚོར-བ	 Feelings conditioned by sensory contact that is visually compounded| Feelings conditioned by sensory contact that is visually compounded |Feelings conditioned by sensory contact that is visually compounded 
ཡིད-ཀྱི-འདུས-ཏེ-རེག-པའི-རྐྱེན-གྱིས-ཚོར-བ	 Feelings conditioned by sensory contact that is mentally compounded| Feelings conditioned by sensory contact that is mentally compounded |Feelings conditioned by sensory contact that is mentally compounded 
མངོན-པར-འདུ-བྱེད-པ	Conditioning
འདུ-བྱེད-པ-མེད-པ	 Non-conditioning|Non-conditioning 
མངོན-པར-འདུ-བྱེད-པ-མེད-པ	 Non-conditioning|Non-conditioning 
གཟུགས-མངོན-པར-འདུ-བགྱིད-པ-ལ-སྤྱོད	 Engage in the conditioning of physical forms|Engage in the conditioning of physical forms 
ངེས-པར-འབྱིན-པ	 Conducive to emancipation|Conducive to emancipation 
སྤྱོད-པ	Conduct
བརྟུལ-ཞུགས	 Disciplined conduct | Vow|Disciplined conduct 
བསྟུལ-ཞུགས	 Disciplined conduct|Disciplined conduct 
སྡོམ-པ-ཕྱིན-ཅི-ལོག-པ	 Inverted conduct|Inverted conduct 
མི-ཚངས-པར-སྤྱོད-པ	 Impure conduct|Impure conduct 
ཀུན-ཏུ-སྤྱོད-པ-གཙང-མ	 Scrupulous conduct|Scrupulous conduct 
ཚུལ-ཁྲིམས	 Discipline | Ethical conduct | Moral conduct | Morality|Ethical conduct 
ཚུལ	 Ethical conduct|Ethical conduct 
སྤྱོད-པ-དང-ལྡན-པ	 Engaging in Conduct|Engaging in Conduct 
རིག-པ-དང-ཞབས-སུ-ལྡན-པ	 Perfect in wisdom and conduct| Perfect in wisdom and conduct |Perfect in wisdom and conduct 
ཀུན-ཏུ-སྤྱོད-པའི-ཚུལ-ཁྲིམས	 Ethical discipline of habitual conduct| Ethical discipline of habitual conduct |Ethical discipline of habitual conduct 
རིགས-པ-དག-ཞབས-སུ-ལྡན-པ	 Endowed with knowledge and virtuous conduct| Endowed with knowledge and virtuous conduct |Endowed with knowledge and virtuous conduct 
ཡོན-ཏན-པདྨ-རྣམ-པར-གྲགས-སྤྱོད-སེང-གེའི-སྒྲ-སྒྲོགས	 He Who Proclaims the Lion’s Roar of Conduct That is Renowned to be the Lotus of Good Qualities| He Who Proclaims the Lion’s Roar of Conduct That is Renowned to be the Lotus of Good Qualities |He Who Proclaims the Lion’s Roar of Conduct That is Renowned to be the Lotus of Good Qualities 
བཤགས-པར-བགྱི	Confess
མངོན-པར-ཡིད-ཆེས-པ	Confidence
དང-བ	Confidence
འཐབ-འཇུག	Conflict Engager
འཐབ-དགའ	Conflict Lover
སེམས-ཡོངས-སུ-གཏུགས	Confronted
སྐྱེས-ནས-མ-ནིང	 Congenital hermaphrodite|Congenital hermaphrodite 
ལྡན-པ	Conjoined
ལྷན-ཅིག-ཏུ-ཡང-དག-པར-འདུ	Connected with
བག-ཡོད	Conscientious
རྣམ-ཤེས	 Consciousness|Consciousness 
ལྕེའི-རྣམ-པར-ཤེས-པའི-ཁམས	 Sensory element of gustatory consciousness| Sensory element of gustatory consciousness |Sensory element of gustatory consciousness 
རྣམ-པར-ཤེ-སྤའི-ཁམས	 Consciousness element| Consciousness element |Consciousness element 
རྣམ-པར-ཤེས-པ-ལ-གནས-པ-བདུན	 Seven abodes of consciousness|Seven abodes of consciousness 
རྣམ-པར-ཤེས-པའི-གནས-བདུན	 Seven bases of consciousness|Seven bases of consciousness 
རྣམ-པར-ཤེས-པའི-ཁམས	 Element of consciousness | Sensory element of consciousness| Sensory element of consciousness |Sensory element of consciousness 
རྣམ-པར-ཤེས-པའི-ཟས	 Nourishment of consciousness|Nourishment of consciousness 
ཟད-པར-རྣམ-པར-ཤེས-པ	 Total consummation of consciousness|Total consummation of consciousness 
རྣ-བའི-རྣམ-པར-ཤེས-པའི-ཁམས	 Sensory element of auditory consciousness| Sensory element of auditory consciousness |Sensory element of auditory consciousness 
སྣའི-རྣམ-པར-ཤེ-སྤའི-ཁམས	 Sensory element of olfactory consciousness| Sensory element of olfactory consciousness |Sensory element of olfactory consciousness 
མིག-གི-རྣམ-པར-ཤེས-པའི-ཁམས	 Sensory element of visual consciousness| Sensory element of visual consciousness |Sensory element of visual consciousness 
ཡིད-ཀྱི-རྣམ-པར-ཤེས-པའི-ཁམས	 Sensory element of mental consciousness| Sensory element of mental consciousness |Sensory element of mental consciousness 
ལུས-ཀྱི-རྣམ-པར-ཤེས-པའི-ཁམས	 Sensory element of tactile consciousness| Sensory element of tactile consciousness |Sensory element of tactile consciousness 
རྣམ-ཤེས-མཐའ-ཡས-སྐྱེ-མཆེད	 Sphere of the infinity of consciousness|Sphere of the infinity of consciousness 
རབ-ཏུ-གནས-པ	Consecrated
ཏིང-ངེ-འཛིན-གྱི-རྒྱལ-པོ-ལྟར-རབ-ཏུ-གནས-པ	 Consecrated as a King of Meditative Stability| Consecrated as a King of Meditative Stability |Consecrated as a King of Meditative Stability 
མཐུན-པར-གྱུར-པ	Consensus
རྟག-ཏུ-བརྩོན-འགྲུས-བརྟན	 Constant Stable Diligence| Constant Stable Diligence |Constant Stable Diligence 
རྡོ-རྗེ-ཀུན-ཏུ-འཛིན-པ	 Constant Vajra Holder|Constant Vajra Holder 
བརྟག	Construct
རྟོག	 Misconstrue|Construct 
རྣམ-པར-རྟོག-པར-འགྱུར	Construe
རེག-པ	 Sensory contact| Sensory contact |Contact 
རེག-པའི-ཟས	 Nourishment of sensory contact| Nourishment of sensory contact |Nourishment of sensory contact 
ཟག-པ-དང-བཅས-པའི-ཆོས	 Contaminated phenomena|Contaminated phenomena 
ཟག-པ-དང-བཅས-པ	 Contaminated phenomena|Contaminated phenomena 
ངེས-པར-སེམས-པ	 Decisiveness|Contemplation 
རུས-གོང-གི-འདུ-ཤེས	 Contemplation of a skeleton|Contemplation of a skeleton 
རྣམ-པར-འཐོར-བའི-འདུ-ཤེས	 Contemplation of a dismembered corpse|Contemplation of a dismembered corpse 
རྣམ-པར-རྣགས-པའི-འདུ-ཤེས	 Contemplation of a putrefied corpse|Contemplation of a putrefied corpse 
རྣམ-པར-བམ-པའི-འདུ-ཤེས	 Contemplation of a bloated corpse|Contemplation of a bloated corpse 
རྣམ-པར-དམར-བའི-འདུ-ཤེས	 Contemplation of a bloody corpse|Contemplation of a bloody corpse 
རྣམ-པར-ཚིག-པའི-འདུ-ཤེས	 Contemplation of an immolated corpse|Contemplation of an immolated corpse 
