འམ	[C]vā; [C]athavā-api
དད-པ-ལ-སོགས-པ-དགེ-བའི-ཆོས-སུ-སྣང-བ	[MSA]śraddhādi-kuśala-dharmābhāsa
དད-པ-ལ-སོགས-པའི-རྣམ-པ	[MSA]śraddhādy-ākāra
དད-པ-མང-བ	śraddha-bahula
དད-པ-སྐྱེད-པར-བྱེད-པ	[MSA]śraddhāyās ... avaropaṇāt (or: avaropaṇa)
དད-པ-ཐོབ-པ	[MSA]prasāda-lābha
དད-པ-ཡིད-ལ-བྱེད-པ	[MSA]ruci-manaskāra
དད-པ-ཡོངས-སུ-སྨིན-པ	[MSA]prasāda-paripāka
དད-པའི-དབང-པོ	[MSA]śraddhendriya
དད-པའི-རྗེས-སུ-འབྲང-བའི-ས-ལ	[C]śraddhā-anusāri-bhūmi
དད-པའི-ས	śraddha-bhūmi
དད-པར	[C]śrāddha
དད-པར-འགྱུར	[MSA](pra √sad): prasīdati
དད-པར-གྱིས	[C]śraddadhata
དད-པར-གྱུར-པ	[MV]śraddadhāna
དད-པར-མེད-པར	[C]aśrāddha
དད-ཐོབ	[C]śraddhā-prāpta
དག	[MV,MSA]viśuddha; [C]śuddhatva; [MSA]viśuddhi; [MSA]śuddha; [MSA]śuddhi; [MSA]śuddhā
དག-དང	[C]sārdham
དག-དང-མ-དག-མིན	[MV]śuddhā 'śuddhā na
དག-གྱུར-པ	[MSA]śuddhim āgatā
དག-པ	[LCh,C,MSA]śuddha; [C]pariśuddha; [C]śuddhaka; [C,MV,MSA]śuddhi; [MSA]viśuddhi; [MSA]śuddhā; [C]śuci
དག-པ-འཇུག-པ	[MSA]śuddhi-viśana (sic)
དག-པ-མ-ཡིན	[MSA]na śuddhā
དག-པ-ཉིད	[C]śuddhatva; [C]śuddhatā
དག-པ-ཕ-རོལ-འགྲོ	[MSA]viśuddhi-pāraga
དག-པ-རབ-འགྱུར	śuddhi ... prabala
དག-པའི-བདག-ཐོབ	[MSA]śuddhātma-lābhitva
དག-ཞིང	kṣetraśuddhi
དལ	kṣaṇa
དལ-འབྱོར	[LCh]kṣaṇa-saṃpad; kṣaṇasampad
དལ-བ	[LCh,C,MSA]kṣaṇa; [MSA]śithila
དལ-བ-ཆུད-གསོན-པ-དག-མཐོང-ནས	[C]kṣaṇāṃś ca virāgayataḥ paśyati
དལ-བར-སྐྱེ-བ	[MSA]kṣaṇopapatti
དལ-གྱིས-འབབ	[BCA] mandākinī
དམ	vā
དམ-བཅའ	[LCh]pratijñā
དམ-བཅའ-བ	[MV,MSA]pratijñā
དམ-བཅས	[C]pratijñā
དམ-བཅས-པ	[MSA]pratijñatva
དམ-ཆོས	[LCh,C,MSA]sad-dharma
དམ-ཆོས-བསྒྲུབ-པར-བྱ-བ	[MSA]saddharma-pratipatti
དམ-ཆོས-ཆེར-གཟུང	[MSA]sad-dharma-mahā-parigraha
དམ-ཆོས-ལེགས-གཞག-པ	[MSA]sudharma-suvyavastha
དམ-ཆོས-ཡུན-རིང-གནས-པ	[MSA]sad-dharmasya sthitir dīrghā
དམ-པ	[LCh,C]vara; [C]pravara; [C]uttama; [LCh,C,MSA,MV]parama; [MSA]para; [MSA]paramata; [C]agra; [C]śreṣṭha; [C]sat; [C]sāra (=pradhāna); [C]pradhāna
དམ-པ-མ-ཡིན-པའི-ཆོས	asat-dharma
དམ-པ-མ-ཡིན-པའི-ཆོས-ཡོངས-སུ-འཛིན-པ	[C]asaddharma-parigrāha
དམ-པ-ཡིན-པ	[C]paramatva
དམ-པ-ཡིན-པ་	[C]paramatva
དམ-པའི-ཆོས	[C,MSA,N]saddharma; sat-dharma
དམ-པའི-ཆོས-འཛིན-པ	[MSA]sad-dharmasya dhāraṇa(ṃ)
དམ-པའི-ཆོས-འཇིག-པའི-དུས-ཀྱི-ཚེ	[C]saddharmasya-antardhāna-kāla-samaya
དམ-པའི-ཆོས-ཀྱང-ཡུན-རིང-དུ-གནས-པར-འགྱུར	[MSA]cira-sthitiko bhavati (sad-dharmaś ca-)
དམ-པའི-ཆོས-མ-ཡིན-པ-ཡོངས-སུ-འཛིན-པ	[C]asaddharma-parigrāhaka
དམ-པའི-ཆོས-ཡུན-རིང-དུ-གནས-པར-བྱ-བ	[C](saddharma) cira-sthiti-hetor
དམ-པའི-དོན	[C,MSA,MV]parama-artha; paramasyārtha
དམ-པའི-དོན-དུ	[C]paramārthena
དམ-པའི-དོན-ནི-གྲུབ-པ	[MSA]niṣpanna-paramārtha
དམ-པར-སྒྲུབ-པ	[MV]paramā pratipattiḥ
དམ-པོ	[MSA]gāḍha
དམ-པོར-བྱེད-པར	[C]gāḍhī-karoti
དམ-ཚིག	[LCh,C]samaya
དམ-ཚིག-གི-ཕྱག-རྒྱ	[LCh]samaya-mudrā
དམ-ཚིག-པ	samaya-sattva
དང	[C]ca; [MSA]prasanna; [MSA]prasāda; [C]atha; [C]sārdham
དང-འདྲ-བའི	[C]pratirūpaka (= vāṅ-mātreṇa bodhisattva-caryā-abhyupagamād)
དང-འདྲེས-པ	[C]sṛṣṭa; [C]saṃsṛṣṭa
དང-བ	[MSA]prasanna; [MSA]prasāda; [C]dang bar 'gyur te = prasādhayati (=adho nayet)
དང-བ-ཉིད	[MSA]acchatā
དང-བ-རབ	[MSA]prasāda (suprasāda)
དང-བའི-ཤུགས	[MSA]prasāda-vega
དང-བར-འགྱུར-ཏེ	[C]prasādhayati (=adho nayeti)
དང-བཅས-པ	[L]saṃyukta; [L]pratisaṃyukta
དང-བཅས-པར	[C]samagra
དང-བྲལ-བ	[C]apagata; [C]vigata; [C]vigatatva; [C]vimukta
དང-བྲལ-བ-གྱུར-པ	[C]apagata; [C]vimukta
དང-བྲལ-བར	[C]avagama
དང-དུ-བླང-བྱ	[MSA](adhi √vas): adhivāsayet
དང-དུ-ལེན	[MSA](adhi √vas): adhivāsayati; adhivāsayet
དང-དུ-ལེན-པ	[LCh]adhiseveti; [MSA]adhivāsa; [MSA]adhivāsaka; [MSA]adhivāsanā
དང-དུ-མི-ལེན	[MSA]anadhivāsanā
དང-ལྡན	[C]samāgamati (=prādurbhavanti); [C]sahayukta (=pratisaṃyukta)
དང-ལྡན-གྱུར	[C]uyukta
དང-ལྡན-པ	[C]samanvāgata; [C]saṃprayukta; [C]pratisaṃyukta; [C]samāyukta; [C]sahagata; [C]prayujyamāna
དང-ལེན	[MSA]adhivāsa
དང-ལྷན-ཅིག-མཚུངས-པར-བྱ-བར	 [C]sārdhaṃ samīkaroti|[C](sārddhaṃ) samīkaroti 
དང-ལྷན-ཅིག-རྩོད-པར-བྱའོ	[C]sārdhaṃ veditavyam
དང-མཐུན-པ	[C]pratirūpa
དང-པ	[C] prāmodya (=yāśuddhatā cittasya ity ārṣam = harṣa-viśeṣaḥ)
དང-པོ	[C, MV]ādya; [MSA]ādi; [LCh,MSA,MV,C]prathama; [MV]prathamam
དང-པོ-བ	ādhikarmika
དང-པོ-དང-འོག	[MV]prathama-dvitīya
དང-པོ-ཁོ-ན-ནས-བརྩམས-པ	[MSA]ādita evārabdha(ṃ)
དང-པོ-ཉིད	[Śāntideva] 
དང-པོའི-ལས	[C]ādikarma
དང-པོའི-ལས-ཅན	[C]ādhikarmaka
དང-པོའི-པའི-ས	[C]ādhikarmika-bhūmi
དང-པོར-སྐྱེ-བ	[MSA]ādya utpādaḥ
དང-སེམས-དང-ལྡན-པ	[MSA]prasanna-citta
དངས-པ	[MSA]prasādita
དངས-པ-ཉིད	[MSA]acchatā
དར-བ	[MSA]vardhamāna; [MSA]vṛddhi
དབང	[LCh]abhiṣeka; [LCh,MSA,MV]vaśa; [LCh,MSA,MV]vaśitā; [MSA,MV]vaśitva; [C]vaśayati (=labhate = paśyati); [C]vaśatā; [MSA]adhipa (e.g.: mokṣa-adhipa); [MSA,MV]ādhipatya; [MV]tantra; [MV]vibhutva; [MV]vaibhutva; adhi-ṣṭāna
དབང-བ	[MSA]vaśin; [MV]vaśitā
དབང-བཅས-པ	[C]sendriya
དབང-བཅུ	[MSA]daśa vaśitāḥ
དབང-བགྱིད-པ	[C]ādhipateya
དབང-བསྒྱུར-བའི-ཡིད-ལ-བྱེད-པ	[MSA]vaśavarti-manaskāra
དབང-བསྐུར	[MV]abhiṣeka
དབང-བསྐུར-བ	[C,MSA]abhiṣikta; [C,MSA]abhiṣeka; [MSA]abhiṣiktaka
དབང-བྱེད-པ	[C]ādhipateya; [MSA]adhipati; [MV]ādhipatya; [MV]vibhutva
དབང-བྱེད-པ-ཐོབ-པའི-མཚན-ཉིད	[MV]vibhutva-prāpti-lakṣaṇatva
དབང-ཆེ-བར-གྲག-པ	[L]maheśākhya
དབང-དུ-འགྲོ-བ	[C]vaśaṃ gacchati
དབང-དུ-འགྱུར	[MSA]vaśe vartate
དབང-དུ-བྱ-བ	[C]vaśī-karaṇa
དབང-དུ-བྱས	adhikāra
དབང-དུ-བྱས-པ	[MV]adhikāra
དབང-དུ-གྱུར-པ	[L]vaśita; [C]vaśī-bhūta
དབང-དུ-མ-གྱུར-པ	[L]nirvaśita
དབང-གི-མི-མཐུན-པའི-ཕྱོགས	[MV]vibhutva-vipakṣa
དབང-གིས	[MV]ādhipatyatas; [MV]ādhipatyāt; [C]vaśatā
དབང-ལྡན	[MSA]vaśin
དབང-ལྡན-དང-བཅས-པ	[C]seśāna
དབང-མཆོག-ཐོབ-པའི-བློ-དང-ལྡན	[MSA]parama-vaśitva-labdha-buddhi
དབང-མེད	[C]vaśayati (=labhate = paśyati)
དབང-མེད-གནོན	[C]akāma-kāra
དབང-མེད-རྗེ-བོའི-དབང	[C]avaśāvaśa-bhartṛka
དབང-མངོན	indriya-pratyakṣa
དབང-ཕྱུག	[LCh,C,MSA]īśvara; [C]aiśvarya; [C]īśvaratā; [C]īśvarya
དབང-ཕྱུག-ཆེན-པོ	maheśvara
དབང-ཕྱུག-གི-རྒྱུ	[MSA]aiśvarya-hetu
དབང-ཕྱུག-ནག-པོ	īśvarakṛṣṇa
དབང-ཕྱུག-སྦྱིན-པར-བྱེད-པ	[MSA]aiśvarya-dāna
དབང-ཕྱུགས	īśvara
དབང-པོ	[LCh,C,MSA,MV,GD]indriya; [C]akṣa; indra
དབང-པོ-འབྲིང	[C]madhyendriya
དབང-པོ-བསྡམས-པ	[C]saṃvṛtendriyatā
དབང-པོ-དང-བཅས-པ	[C]sendraka
དབང-པོ-དང-བཅས-པའི-ལྷ-རྣམས	[C]sendrakā-devā
དབང-པོ-གཟུགས-ཅན-པ	rūpendriya
དབང-པོ-ལ-མཁས-པ	[C]indriya-kuśala
དབང-པོ-ལྷའི	[MSA]devendra
དབང-པོ-ལྔ	[MV]pañcendriyatva
དབང-པོ-ལྔ-རྣམས-གཞན-གྱུར	[MSA]pañcendriya-parāvṛtti
དབང-པོ-མ-ཚང-བ	[C]vikalpendriya
དབང-པོ-ཉམས-པ	[C]hīnendriya
དབང-པོ-ཕྱལ-པ	[C]prakṛtendriya
དབང-པོ-རབ-དང-ཐ-མ-ཤེས-པར-བྱ-བ	[C]indriya-parāpara-jñā(na)tā
དབང-པོ-རྣོ-བ	tīkṣṇendriya
དབང-པོ-རྣོ-བ-ཉིད	[MSA]tīkṣṇendriyatā
དབང-པོ-རྣོན-པོ	[L]tīkṣṇendriya
དབང-པོ-རྟུལ-པོ	[L]mṛdv-indriya
དབང-པོ-ཐམས-ཅད-ཚིམ-པར-བྱེད-པ	[MSA]sarva-(sattv)endriya-saṃtoṣaṇī
དབང-པོ-ཡོངས-སུ-རྫོགས-པར-བྱ-བ-ལ-མཁས-པ	[C]indriya-paripūri-kuśalatā
དབང-པོའི-མངོན-སུམ	indriya-pratyakṣa
དབང-པོའི-རིམ-པ-ཡོད-པས	[C]vimātratā-indriya
དབང-པོའི-རྣམ-པ-ཐམས-ཅད-ཡོངས-སུ-རྫོགས-པ	[C]sarvākāra-paripūrṇa-indriya
དབང-པོའི-སྤྱོད-ཡུལ-སྣ-ཚོགས	[MSA]akṣa-vicitra-gocara
དབང-པོའི-ཡུལ	indriyaviṣaya
དབང-རྣམ-པ-བཞི	[MSA]catur-vidhā ... vaśitā
དབང-རྣོན	tīkṣṇendriya
དབང-རྟུལ	mṛdv-indriya
དབང-སྒྱུར	[MV]vaśa-vartana
དབང-ཤེས	indriya-jñāna
དབེ-བ-ཅན	sukhāvatī
དབེན	[C]viveka; vivikta (=ātma-ādi-sambandha-doṣa-rahitatvād); [MSA]vivekatā
དབེན-པ	[LCh,C]viveka; [LCh,MSA,C]vivikta; [C]virakta
དབེན-པར-འདུག	[L]rahogata
དབེན-པར-འགྱུར-བ	[C]vivicyate
དབེན-པར-བགྱིད-པ	[C]vivikta-kārika; [C]viviktatva
དབུ	[LCh]śiras; [C]uttama-aṅgatā; [C]mūrti
དབུ-བ-རྡོས-པ	[C]phenapiṇḍa
དབུ-བརྡོས-པ	[C]phenapiṇḍa
དབུ-མ	[LCh,N]madhyama; mādhyamika
དབུ-མ-ལ-འཇུག-པ	madhyamākavatāra ; madhyamakāvatāra
དབུ-མ-ལ-འཇུག-པའི-འགྲེལ-བཤད	madhyamakāvatāra-ṭīkā
དབུ-མ-ལ-འཇུག-པའི-བཤད-པ	madhyamakāvatāra-bhāṣya
དབུ-མ-པ	madhyamaka; mādhyamika
དབུ-མ-རང-རྒྱུད-པ	svātantrika-mādhyamika
དབུ-མ-རྒྱན	madhyamakālṃkāra
༅དབུ-མ-རྩ-བའི-འགྲེལ-པ-བུདད-པཱ-ལི-ཏ༏-འགྲེལ-པ-བུདདྷ-པཱ-ལི-ཏ	buddhapālita-mūla-madhyamaka-vṛtti
དབུ-མ-རྩ-བའི-འགྲེལ-པ-ཤེས-རབ-སྒྲོན-མ	prajñā-pradīpa-mūla-madhyamaka-vṛtti
༅དབུ-མ-རྩ-བའི-འགྲེལ-པ-ཚིག-གསལ-བ༏-ཚིག-གསལ	mūla-madhyamaka-vṛtti-prasannapadā
དབུ-མ-རྩ-བའི-ཚིག-ལེའུར-བྱས-པ-ཤེས-རབ-ཅེས-བྱ-བ	prajñā-nāma-mūla-madhyamaka-kārikā
དབུ-མ-སྣང-བ	madhyamakāloka
དབུ-མ-ཐལ-འགྱུར-པ	prāsaṅgika-Mādhyamika; prāsaṅgikamādhyamika
དབུ-མའི-བསྟན-བཅོས	madhyamaka-śāstra
དབུ-མའི-ལམ	madhyama-pratipad; [MV]madhyama pratipat/pratipattiḥ
དབུ-མའི-རྒྱན-གྱི-ཚིག-ལེའུར-བྱས-པ	madhyamakālaṃkāra-kārikā
དབུ-མའི-སྙིང-པོའི-འགྲེལ-པ-རྟོག-གེ-འབར-བ	madhyamaka-hṛdaya-vṛtti-tarkajvālā
དབུ-མའི-སྙིང-པོའི-ཚིག-ལེའུར-བྱས-པ	madhyamaka-hṛdaya-kārikā
དབུའི-གཙུག	[C]mūrdhan
དབུའི-གཙུག-ཏུ	[C]mārdhani; [C]mūrdhan
དབུགས	[C]śvāsa; [MSA]lālenā (=lālanā?)
དབུགས-འབྱུང-བ	praśvāsa
དབུགས-འབྱུང-པ	praśvāsa
དབུགས-འབྱུང-རྔུབ	ānāpana
དབུགས-མི-བདེ	[NOC] śvāsa; śvasana
དབུགས-ཕྱི-ནང-དུ-རྒྱུ-བ	[C]ānāpāna-anusmṛti
དབུགས-ཕྱིན	[C]ucchvasita
དབུགས-ཕྱིན-ནས	[C]āśvāsta
དབུགས-ཕྱིན-པ-རྙེད-པ-ལགས-ཏེ	[C]āśvāsa-prāpto-bhavati
དབུགས-ཕྱིན-རྙེད-པར	[C]āśvāsa-prāpto-bhavati
དབུགས-ཕྱིན-ཐོབ-པར	[C]āśvāsa-prāpto-bhavati
དབུགས-རྔུབ-པ	āna; śvāsa
དབུགས-སྦྱུང-བར-བགྱི	[C]āśvāsayema
དབུལ	[C]kṛśa; [C,L]daridra
དབུལ-བ	[C]dāridriya
དབུལ-པོ	[C,L]daridra
དབུལ-པོར-གྱུར	[L]daridra-bhūto
དབུང	[L]madhya
དབུར-ལྡན	[C]mūrdhan
དབུས	[LCh,L,MV,MSA]madhya
དབུས-དང-མཐའ-རྣམ-པར-འབྱེད-པ	[MV]madhyānta-vibhāga
དབུས-མཐའ	[DASI 559.2] madhyānta-vibhāga
དབུས-མཐའ-རྣམ-འབྱེད	madhyānta-vibhāga
དབུས-རྣམ-འབྱེད-པ	[MV]madhya-vibhāga
དབྱང-ཅན-མ	sarasvatī
དབྱངས	[LCh,MSA]ghoṣa; [MSA]svara
དབྱངས-ཀྱིས-བསྙད-པ	[C]geya
དབྱངས-ཀྱིས-བསྙད-པའི-སྡེ	[C,MSA]geya
དབྱངས-ཕུན-སུམ-ཚོགས-པ	[C]svara-sampanna
དབྱེ	bheda; [MV]vivecana; [C]vicarati
དབྱེ-བ	[C,MSA,MV]bheda [C](=dharma-bheda); [MSA]prabheda; [L]bhedatā; [L]vigraha; vibhāga
དབྱེ-བར-བྱེད	[C]bhedayitum (=nivartayitum)
དབྱེ-བས-ཐ-དད-པ	[MSA]bheda-bhinna
དབྱེ-མེད-པ	[C]abheda
དབྱེ-ན-མི-མང-བ	[MSA]na bheda-bahulaḥ
དབྱེན-མེད-པ	[C]abheda
དབྱེར-མ-མཆིས-ཉིད	[C]asaṃbhinna
དབྱེར-མེད	[C]abheda; [C]asaṃbheda; [C]abhinna
དབྱེར-མི-ཕྱེད-པ	[C]asaṃbhedana
དབྱེས-ཆེ-བ	[C]pṛthu
དབྱིབས	[LCh,C,MSA]saṃsthāna
དབྱིབས-དང-ཁ-དོག	saṃsthāna-varṇa
དབྱིག-འཛིན	[Negi] vasundharā; pṛthvī
དབྱིག-དབྱུག	[C]daṇḍa
དབྱིག-གི-སྙིང-པོ	[Negi] hiraṇyagarbha; brahmā
དབྱིག-གཉེན	[MV]vasubandhu
དབྱིག-པ	[C]daṇḍa
དབྱིངས	[C,MV,MSA]dhātu
དབྱིངས-མི-སྡུག-པ	[C]duḥsaṃsthāna
དབྱོད-པ	vicāra
དབྱུག-པ	[C]daṇḍa
དབྱུང-བ	[L]niḥsaraṇa
དེ	[C]tat; [MSA]tad eti; [C]tad ete
དེ-བ-ཤར-མ	devaśarma[DASI 581.6]
དེ-བྱུང-འབྲེལ	tadutpatti-saṃbandha; tadutpatti
དེ-བཞིན	[TN]tathā; [C]tatha
དེ-བཞིན-འཛིན-པ	[GST] dhāraṇā
དེ-བཞིན-བཤེགས-པ	tathāgata
དེ-བཞིན-དུ	[LCh,MV]evam; evam eva; [LCh,MSA,MV,C]tathā; [C]tathaiva
དེ-བཞིན-དུ-གནས-པ-ཉིད	[MSA]tathā-sthita
དེ-བཞིན-དུ-ཡོད-པའི-སྟོང-པ-ཉིད	[MSA]tathā-bhāvasya śūnyatā
དེ-བཞིན-གནས	[MSA]tathā sthita(sya)
དེ-བཞིན-གནས-པ	[MSA]tathāvasthatva
དེ-བཞིན-གཤེགས	tathāgata; [C]nararṣabha
དེ-བཞིན-གཤེགས-ཉིད	[MSA]tathāgatatva
དེ-བཞིན-གཤེགས-པ	tathāgata
དེ-བཞིན-གཤེགས-པ-ཉིད	[C]tathāgatatva
དེ-བཞིན-གཤེགས-པ-རྣམས-སྐུ-རྟག-པ	[MSA]nitya-kāyās tathāgatāḥ
དེ-བཞིན-གཤེགས-པ-རྟག-པ	[C]śāśvata-sarva-tathāgata-jñāna-mudrā-prāpta-sarva-tathāgata-muṣṭi-dhara
དེ-བཞིན-གཤེགས-པ-རྟག-ཏུ	[C]śāśvata-sarva-tathāgata-jñāna-mudrā-prāpta-sarva-tathāgata-muṣṭi-dhara
དེ-བཞིན-གཤེགས-པ-སྙིང-པོ-ཅན	[C]tathāgata-garbha
དེ-བཞིན-གཤེགས-པ-ཐམས-ཅད-ཀྱི-འཁོར-ལོ-འདུས-པ	[C]sarva-tathāgata-cakra-antargata
དེ-བཞིན-གཤེགས-པ-ཐམས-ཅད-ཀྱི-ཡེ-ཤེས-ཀྱི-ཕྱག-རྒྱ-ཐོབ-པ-དེ-བཞིན-གཤེགས-པ-ཐམས-ཅད-ཀྱི-ཁུ-ཚུར-འཛིན-པ-དེ-བཞིན-གཤེགས-པ-རྟག-པ	śāśvata-sarva-tathāgata-jñāna-mudrā-prāpta-sarva-tathāgata-muṣṭi-dhara
དེ-བཞིན-གཤེགས-པའི-རིགས-སུ-སྐྱེ-བ	[MSA]tathāgata-kule janma
དེ-བཞིན-གཤེགས-པའི-ས-ལ	[MV]bhūmau tathāgatyāṃ
དེ-བཞིན-གཤེགས-པའི-སྙིང-པོ	[LCh]tathāgata-garbha
དེ-བཞིན-གཤེགས-པའི-སྙིང-པོ-ཅན	[MSA]tathāgata-garbha
དེ-བཞིན-གཤེགས-པའི-སྤྲུལ-པ	[C]tathāgata-nirmita
དེ-བཞིན-གཤེགས-པའི-ཡེ-ཤེས-དང-ལྡན-པ	[MSA]saha tathāgata-jñānena
དེ-བཞིན-གཤེགས-པས-གསུངས-པ-བཞིན-སྨྲ-བ	tathāgatasyoktavādin;
དེ-བཞིན-གཤེགས-རིགས-སུ-སྐྱེ-བ	[MSA]tathāgata-kule janma
དེ-བཞིན-ཀྱང	[C]kiṃ ca-api
དེ-བཞིན-མེད-པའི-ཕྱིར	[MSA]tathā 'bhāvāt
དེ-བཞིན-མིན	[MSA]na ... tathā
དེ-བཞིན-ཉིད	[LCh,MV,MSA]tathatā; [C,MSA]tathātva; [MV]tathātā; [MSA]tattva
དེ-བཞིན-ཉིད-དམིགས-ཡེ-ཤེས	[MSA]tathatālambanaṃ jñānam
དེ-བཞིན-ཉིད-དུ-གསུང-བ	[C]tathā-vādin
དེ-བཞིན-ཉིད-ཀྱི-མཚན-ཉིད-དུ-ཡོད-པ	[MSA]tathatā-lakṣaṇa-bhāva
དེ-བཞིན-ཉིད-ཀྱི-ངོ-བོ	tathābhāva
དེ-བཞིན-ཉིད-ལ-དམིགས-པ	[MSA]tathatālambana
དེ-བཞིན-ཉིད-མ-གཏོགས-པར	[C]tathatā-vinirmukta (=vyatirikta)
དེ-བཞིན-ཉིད-མ-ཡིན-པ	[C]atathatā
དེ-བཞིན-ཉིད-རྣམ-པར-དག-པ	[MSA]viśuddhā ... tathatā
དེ-བཞིན-ཉིད-སྣང-བ-ཉིད	[MSA]tathatāyāḥ khyāna(tā)
དེ-བཞིན-ཉིད-ཐ-དད-པའི-རང-བཞིན-མ-ཡིན-པ	[MSA]tathatāyā abhinnatvāt
དེ-བཞིན-ཡོད	[MSA]tathā bhāvāt; [MSA]tathā bhāva
དེ-དག-མཚན-མར	[C]tan-nimitta
དེ-དག-ཐམས-ཅད	[MV 3.17]tat sarvam
དེ-དང-ལྷན-ཅིག	[C]saha
དེ-དང-མི-མཐུན	[MV 3.17]tad-vilakṣaṇa
དེ-དང-ཡོན-ཏན-འདྲ-ཞིང	[C]tad-guṇa
དེ-གཅིག-པུ	[C]ekākina
དེ-ཁོ-ན	[MSA,MV]tattva
དེ-ཁོ-ན-དང-བཅས-པའི	[C]satattvena
དེ-ཁོ-ན-གཏན-ལ-དབབ-པ	[N]tattva-viniścaya
དེ-ཁོ-ན-ཉིད	 [C,MSA]tattva; [MSA]satattva; tathatā | tattva|[MSA]tattva; [MSA]satya; tathatā 
དེ-ཁོ-ན-ཉིད-དུ-གྲུབ-པ	tattva-siddhi
དེ-ཁོ-ན-ཉིད-ཁོང-དུ-ཆུད-པ	[MSA]tattvādhigama
དེ-ཁོ-ན-ཉིད-ཀྱི-དོན	[MSA]tattvārtha
དེ-ཁོ-ན-ཉིད-ཀྱི-ཕྱོགས-གཅིག-ལ-ཞུགས-པའི-ཏིང-ངེ-འཛིན	tattvārthaikadeśānu-praveśasamādhi
དེ-ཁོ-ན-ཉིད-ལ-འཇུག	[MSA]tattvaṃ praviśati; tattvāvatāra
དེ-ཁོ-ན-ཉིད-ལ-འཇུག-པ	[N]tattvāvatāra
དེ-ཁོ-ན-ཉིད-ལ-རབ-ཏུ-ཞུགས-པ	[MSA]tattve praviṣṭaṃ
དེ-ཁོ-ན-ཉིད-ལ-སྒྱུ-མ-ལྟ-བུ-ཡོངས-སུ-ཚོལ-བ	[MSA]tattve māyopama-paryeṣṭih
དེ-ཁོ-ན-ཉིད-མ-མཐོང-བ-ལ-བརྟེན-པ	[MSA]adṛṣṭa-satyāśraya
དེ-ཁོ-ན-ཉིད-རབ-ཏུ-རྟོགས-པ	[MSA]prabuddha-tattva
དེ-ཁོ-ན-ཉིད-སྟོན-པ	[MSA]tattva-darśikā
དེ-ཁོ-ནའི-ལེའུ	tattvārthapaṭala
དེ-ལ	[C]tatra; [C]atas
དེ-ལས	[C]tatu (=tadā)
དེ-ལས-བྱུང-བ	[MV]tat-pratyaya
དེ-ལས-བཟློག	[C]vārayāmi
དེ-ལས-གཞལ-མེད	[C]na tu yo pareṇa (?)
དེ-ལས-གཞན-དང-གཞན-མེད	[MSA]tad-anyānyābhāva
དེ-ལྟ-བས-ན	[C]tasmāhu; [MV.II.14]tasmāt tarhi
དེ-ལྟ-བུ	[L]evam; [MSA]ākṛti
དེ-ལྟ-བུ-བྱུང-བའི-སྡེ	[C]itivṛttaka; [C]iti-uktaka
དེ-ལྟ-བུ-དང-འཐུན-པ	[C]evaṃ jātiya
དེ-ལྟ-བུའི-རང-བཞིན-དུ	[C]tathā-rūpa
དེ-ལྟ-བུར-ནི	evam eva
དེ-ལྟ-མ-ཡིན-ན	[MSA]itarathā
དེ-ལྟར	[LCh,MSA,MV]tathā; [C]eva; [MV]evam; [C]evaṃ kṛtvā; [MV 2.1]iti
དེ-ལྟར-བུ	[L]evam
དེ-ལྟར-མེད	[MV]tathā nāsti
དེ-ལྟར-མཉམ-པ-ཉིད-དུ-མཐོང-བ-ནི	[C]tādṛśa (=tathārūpa)
